SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - Incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
1,State,Andhra Pradesh,1838,3,30,0,497,0.8,609,1,423,0.7,768,1.3,7076,11.7,16078,26.7,4335,7.2,633,1,1646,2.7,105,0.2,60241,99.9,94279,156.4
2,State,Arunachal Pradesh,43,5.7,2,0.3,11,1.5,30,4,10,1.3,27,3.6,146,19.4,251,33.3,9,1.2,21,2.8,10,1.3,1,0.1,794,105.3,1355,179.8
3,State,Assam,814,3.5,26,0.1,442,1.9,898,3.9,378,1.6,561,2.4,3982,17.3,8171,35.5,4385,19.1,476,2.1,554,2.4,5,0,16552,71.9,37244,161.8
4,State,Bihar,3582,4.5,320,0.4,849,1.1,1730,2.2,3159,3.9,2434,3,8867,11.1,20878,26.1,15473,19.3,1224,1.5,1552,1.9,33,0,47144,58.9,107245,134.1
5,State,Goa,30,2.6,1,0.1,12,1,18,1.5,11,1,52,4.4,663,56.6,1213,103.6,339,29,66,5.6,56,4.8,10,0.9,2080,177.7,4551,388.8
6,State,Gujarat,1144,3,11,0,159,0.4,544,1.4,198,0.5,852,2.2,5320,13.8,18208,47.1,2318,6,1434,3.7,903,2.3,104,0.3,53519,138.6,84714,219.4
7,State,Haryana,482,3.2,120,0.8,134,0.9,226,1.5,39,0.3,117,0.8,2570,16.8,3518,23,306,2,251,1.6,392,2.6,5,0,14758,96.5,22918,149.9
8,State,Himachal Pradesh,84,1.7,15,0.3,34,0.7,98,2,4,0.1,20,0.4,795,16.5,747,15.5,282,5.9,138,2.9,90,1.9,NA,0,4172,86.7,6479,134.6
9,State,Jammu & Kashmir,102,1.5,12,0.2,171,2.5,517,7.5,18,0.3,27,0.4,1564,22.7,3279,47.5,1876,27.2,178,2.6,262,3.8,NA,0,11152,161.7,19158,277.8
10,State,Karnataka,1112,2.6,35,0.1,167,0.4,438,1,170,0.4,565,1.3,7556,17.8,15456,36.4,7139,16.8,892,2.1,1585,3.7,307,0.7,44034,103.8,79456,187.3
11,State,Kerala,472,1.7,33,0.1,192,0.7,152,0.5,56,0.2,192,0.7,4196,14.7,3247,11.4,5209,18.3,419,1.5,1230,4.3,224,0.8,41184,144.6,56806,199.5
12,State,Madhya Pradesh,2750,4.6,63,0.1,1705,2.9,778,1.3,327,0.5,2605,4.4,18530,31,35906,60,4485,7.5,1145,1.9,1668,2.8,7,0,111134,185.8,181103,302.8
13,State,Maharashtra,2206,3.1,47,0.1,782,1.1,990,1.4,677,0.9,3477,4.9,16773,23.5,56604,79.4,4514,6.3,2823,4,1683,2.4,223,0.3,93797,131.5,184596,258.8
14,State,Manipur,68,4.1,7,0.4,11,0.7,118,7.1,26,1.6,49,2.9,127,7.6,422,25.4,116,7,44,2.6,100,6,16,1,737,44.4,1841,110.8
15,State,Meghalaya,95,6,4,0.3,19,1.2,22,1.4,31,2,37,2.3,159,10,436,27.5,414,26.1,13,0.8,35,2.2,NA,0,1175,74,2440,153.6
16,State,Mizoram,45,7.1,1,0.2,62,9.8,2,0.3,1,0.2,28,4.4,133,21.1,347,55.1,1,0.2,40,6.4,43,6.8,9,1.4,445,70.7,1157,183.8
17,State,Nagaland,45,4.5,2,0.2,9,0.9,25,2.5,20,2,82,8.2,309,31,311,31.2,60,6,38,3.8,46,4.6,7,0.7,670,67.2,1624,163
18,State,Orissa,586,2,63,0.2,186,0.6,255,0.9,191,0.6,592,2,4666,15.8,9597,32.5,1611,5.5,439,1.5,341,1.2,8,0,24068,81.5,42603,144.2
19,State,Punjab,1388,7.3,137,0.7,47,0.2,182,1,151,0.8,592,3.1,1464,7.7,2304,12.2,160,0.8,248,1.3,277,1.5,9,0,8058,42.6,15017,79.4
20,State,Rajasthan,1139,2.8,43,0.1,604,1.5,1755,4.3,90,0.2,1051,2.6,6381,15.7,11351,28,12177,30,1004,2.5,2870,7.1,42,0.1,41344,101.9,79851,196.7
21,State,Sikkim,6,1.5,1,0.3,8,2,3,0.8,NA,0,4,1,39,9.8,80,20.1,4,1,21,5.3,24,6,NA,0,164,41.2,354,88.9
22,State,Tamil Nadu,1531,2.9,22,0,267,0.5,630,1.2,82,0.2,433,0.8,7835,14.6,22216,41.4,8179,15.2,1001,1.9,1786,3.3,355,0.7,70133,130.7,114470,213.4
23,State,Tripura,144,6,4,0.2,43,1.8,54,2.3,49,2,86,3.6,661,27.6,861,36,561,23.4,22,0.9,24,1,NA,0,2122,88.6,4631,193.4
24,State,Uttar Pradesh,6985,5.5,2026,1.6,1392,1.1,3441,2.7,3071,2.4,7240,5.7,21665,17.1,42331,33.5,9228,7.3,3817,3,3145,2.5,76,0.1,64374,50.9,168791,133.5
25,State,West Bengal,1453,2.4,494,0.8,632,1,888,1.4,817,1.3,805,1.3,1977,3.2,24949,40.4,7229,11.7,946,1.5,838,1.4,71,0.1,21848,35.4,62947,101.9
Total (States),State,Total (States),28144,3.6,3519,0.5,8435,1.1,14403,1.9,9999,1.3,22696,2.9,123454,16,298761,38.7,90410,11.7,17333,2.2,21160,2.7,1617,0.2,735699,95.4,1375630,178.3
26,UT,A & N Islands,7,2.8,1,0.4,6,2.4,11,4.3,NA,0,1,0.4,68,26.8,129,50.9,23,9.1,11,4.3,5,2,NA,0,479,189.1,741,292.5
27,UT,Chandigarh,22,3.5,3,0.5,5,0.8,27,4.3,1,0.2,3,0.5,183,28.9,757,119.7,10,1.6,17,2.7,78,12.3,1,0.2,514,81.3,1621,256.4
28,UT,D & N Haveli,4,3.3,NA,0,2,1.6,3,2.5,2,1.6,8,6.6,106,86.9,78,63.9,23,18.9,3,2.5,NA,0,NA,0,312,255.7,541,443.4
29,UT,Daman & Diu,7,7.6,NA,0,1,1.1,NA,0,2,2.2,2,2.2,4,4.3,17,18.4,16,17.4,3,3.3,3,3.3,NA,0,61,66.2,116,125.8
30,UT,Delhi,311,3.9,198,2.5,103,1.3,799,9.9,32,0.4,197,2.5,1475,18.3,10191,126.8,173,2.2,466,5.8,840,10.4,29,0.4,11032,137.2,25846,321.5
31,UT,Lakshadweep,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,9,20.4,4,9,7,15.8,NA,0,1,2.3,NA,0,10,22.6,31,70.1
32,UT,Pondicherry,18,2.6,NA,0,7,1,8,1.1,NA,0,10,1.4,167,24,638,91.6,127,18.2,14,2,28,4,6,0.9,1443,207.1,2466,353.9
Total (UTs),UT,Total (UTs),369,3.7,202,2,124,1.3,848,8.6,37,0.4,221,2.2,2012,20.4,11814,119.6,379,3.8,514,5.2,955,9.7,36,0.4,13851,140.2,31362,317.4
Total (All India),Total (All India),Total (All India),28513,3.6,3721,0.5,8559,1.1,15251,2,10036,1.3,22917,2.9,125466,16.1,310575,39.7,90789,11.6,17847,2.3,22115,2.8,1653,0.2,749550,95.9,1406992,180.1
1,City,Ahmedabad,81,3.4,1,0,13,0.6,109,4.6,8,0.3,75,3.2,772,32.8,3404,144.5,267,11.3,122,5.2,188,8,26,1.1,5971,253.5,11037,468.6
2,City,Bangalore,108,3.3,3,0.1,46,1.4,88,2.7,13,0.4,246,7.5,1744,53,7144,217.1,194,5.9,219,6.7,790,24,173,5.3,11049,335.8,21817,663.1
3,City,Bombay,285,2.9,2,0,85,0.9,231,2.3,65,0.7,762,7.6,2361,23.7,15359,153.9,196,2,933,9.4,1166,11.7,63,0.6,14510,145.4,36018,361
4,City,Calcutta,69,2.1,10,0.3,19,0.6,122,3.6,30,0.9,188,5.6,455,13.5,6763,201.1,549,16.3,314,9.3,390,11.6,35,1,4275,127.1,13219,393.1
5,City,Delhi,259,3.4,159,2.1,88,1.2,734,9.7,22,0.3,172,2.3,1357,17.9,9709,128,147,1.9,422,5.6,794,10.5,28,0.4,9946,131.2,23837,314.4
6,City,Hyderabad,71,2.9,NA,0,23,0.9,75,3.1,9,0.4,99,4.1,1265,52.1,3109,128.2,226,9.3,82,3.4,325,13.4,43,1.8,2171,89.5,7498,309.1
7,City,Jaipur,36,2.8,1,0.1,11,0.8,106,8.2,2,0.2,45,3.5,378,29.1,1271,97.8,762,58.6,134,10.3,258,19.8,15,1.2,2648,203.7,5667,435.9
8,City,Kanpur,492,28.6,36,2.1,26,1.5,148,8.6,81,4.7,172,10,568,33,1914,111.1,228,13.2,238,13.8,256,14.9,2,0.1,3070,178.3,7231,419.9
9,City,Lucknow,68,6.8,20,2,19,1.9,82,8.2,27,2.7,87,8.7,504,50.6,1796,180.5,155,15.6,205,20.6,233,23.4,14,1.4,208,20.9,3418,343.5
10,City,Madras,61,1.6,3,0.1,23,0.6,40,1,2,0.1,41,1,302,7.7,3838,98.1,200,5.1,209,5.3,664,17,167,4.3,8277,211.5,13827,353.3
11,City,Nagpur,102,6.8,NA,0,45,3,75,5,15,1,255,17.1,724,48.4,2121,141.9,162,10.8,92,6.2,119,8,20,1.3,5053,338.1,8783,587.6
12,City,Pune,70,4.8,NA,0,34,2.3,45,3.1,6,0.4,137,9.3,736,50,2531,171.8,168,11.4,105,7.1,193,13.1,12,0.8,5126,347.9,9163,621.9
Total (Cities),City,Total (Cities),1702,4.3,235,0.6,432,1.1,1855,4.6,280,0.7,2279,5.7,11166,27.9,58959,147.8,3254,8.2,3075,7.7,5376,13.5,598,1.5,72304,181.2,161515,404.9
