SL. No.,Category,State/UT/City,By Education - Illiterate,By Education - Primary,By Education - Above Primary but Below Matric/ H. Sec.,By Education - Matric/ H. Sec. & Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic-Setup - Lower Income upto Rs. 500 PM,By Economic-Setup - Low/Mid Income (From Rs. 501 to 1000 PM),By Economic-Setup - Middle Income (Rs. 1001 to 2000 PM),By Economic-Setup - Upper/Mid Income (From Rs. 2001 to 3000 PM),By Economic-Setup - Upper Income (Above Rs. 3000 PM),By Economic-Setup - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
1,State,Andhra Pradesh,583,549,325,94,1551,725,448,378,1551,639,357,289,152,114,1551,1043,508,1551
2,State,Arunachal Pradesh,8,9,11,2,30,18,12,0,30,2,19,5,4,0,30,25,5,30
3,State,Assam,57,178,247,261,743,386,262,95,743,153,217,176,117,80,743,526,217,743
4,State,Bihar,1200,537,408,110,2255,1403,699,153,2255,979,590,427,188,71,2255,2170,85,2255
5,State,Goa,20,15,18,0,53,51,0,2,53,30,22,1,0,0,53,53,0,53
6,State,Gujarat,723,951,309,132,2115,1679,277,159,2115,1251,532,186,114,32,2115,1800,315,2115
7,State,Haryana,94,155,40,11,300,274,15,11,300,92,93,90,23,2,300,275,25,300
8,State,Himachal Pradesh,40,33,46,4,123,79,44,0,123,59,58,0,6,0,123,123,0,123
9,State,Jammu & Kashmir,2,1,6,0,9,9,0,0,9,9,0,0,0,0,9,9,0,9
10,State,Karnataka,279,105,110,32,526,421,60,45,526,317,143,45,21,0,526,486,40,526
11,State,Kerala,6,63,138,33,240,211,22,7,240,77,114,49,0,0,240,240,0,240
12,State,Madhya Pradesh,2447,1757,1149,461,5814,4797,518,499,5814,4401,875,314,154,70,5814,5040,774,5814
13,State,Maharashtra,2716,2794,1229,593,7332,5300,973,1059,7332,3688,1972,966,586,120,7332,5408,1924,7332
14,State,Manipur,42,19,8,0,69,16,50,3,69,19,48,2,0,0,69,69,0,69
15,State,Meghalaya,7,13,7,2,29,12,15,2,29,20,4,3,2,0,29,27,2,29
16,State,Mizoram,0,40,59,0,99,81,18,0,99,24,30,32,10,3,99,58,41,99
17,State,Nagaland,0,0,5,0,5,5,0,0,5,0,5,0,0,0,5,5,0,5
18,State,Orissa,58,69,77,12,216,108,92,16,216,106,69,35,3,3,216,149,67,216
19,State,Punjab,1,3,11,5,20,20,0,0,20,0,4,14,1,1,20,18,2,20
20,State,Rajasthan,255,237,154,66,712,476,219,17,712,357,237,62,36,20,712,656,56,712
21,State,Sikkim,8,12,4,0,24,14,10,0,24,18,0,6,0,0,24,15,9,24
22,State,Tamil Nadu,2716,3132,841,138,6827,4181,1994,652,6827,5241,1303,272,11,0,6827,6293,534,6827
23,State,Tripura,7,20,4,0,31,8,20,3,31,17,14,0,0,0,31,31,0,31
24,State,Uttar Pradesh,42,22,22,16,102,51,13,38,102,71,23,5,3,0,102,91,11,102
25,State,West Bengal,44,32,10,0,86,45,26,15,86,49,31,6,0,0,86,86,0,86
Total (States),State,Total (States),11355,10746,5238,1972,29311,20370,5787,3154,29311,17619,6760,2985,1431,516,29311,24696,4615,29311
26,UT,A & N Islands,0,6,0,0,6,6,0,0,6,6,0,0,0,0,6,6,0,6
27,UT,Chandigarh,1,0,3,1,5,4,1,0,5,2,2,1,0,0,5,5,0,5
28,UT,D & N Haveli,0,2,0,0,2,2,0,0,2,2,0,0,0,0,2,2,0,2
29,UT,Daman & Diu,1,4,3,0,8,7,0,1,8,8,0,0,0,0,8,8,0,8
30,UT,Delhi*,0,0,226,0,226,226,0,0,226,226,0,0,0,0,226,226,0,226
31,UT,Lakshadweep,0,0,3,0,3,2,1,0,3,0,3,0,0,0,3,3,0,3
32,UT,Pondicherry,8,14,7,1,30,25,3,2,30,24,5,1,0,0,30,27,3,30
Total (UTs),UT,Total (UTs),10,26,242,2,280,272,5,3,280,268,10,2,0,0,280,277,3,280
Total (All-India),Total (All-India),Total (All-India),11365,10772,5480,1974,29591,20642,5792,3157,29591,17887,6770,2987,1431,516,29591,24973,4618,29591
33,City,Ahmedabad,38,89,62,57,246,131,31,84,246,89,96,39,22,0,246,235,11,246
34,City,Bangalore,122,36,22,14,194,140,21,33,194,145,38,6,5,0,194,177,17,194
35,City,Bombay,810,679,368,240,2097,1627,417,53,2097,1492,325,103,95,82,2097,1334,763,2097
36,City,Calcutta,11,3,0,0,14,12,0,2,14,14,0,0,0,0,14,14,0,14
37,City,Delhi*,0,0,226,0,226,226,0,0,226,226,0,0,0,0,226,226,0,226
38,City,Hyderabad,30,25,15,0,70,56,0,14,70,17,16,37,0,0,70,70,0,70
39,City,Jaipur,22,41,8,0,71,66,3,2,71,61,9,1,0,0,71,68,3,71
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,10,1,2,1,14,10,0,4,14,14,0,0,0,0,14,14,0,14
42,City,Madras,184,24,0,0,208,13,24,171,208,189,19,0,0,0,208,169,39,208
43,City,Nagpur,16,8,0,0,24,24,0,0,24,20,4,0,0,0,24,24,0,24
44,City,Pune,11,59,34,1,105,97,3,5,105,62,39,3,0,1,105,102,3,105
