SL. No.,State/UT/City,By Education - Illiterate,By Education - Primary,By Education - Above Primary But Below Matric/ H. Sec.,By Education - Matric/ H. Sec. & Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic-Setup - Lower Income Upto Rs. 500 PM,By Economic-Setup - Low/Mid Income (From Rs. 501 t 1000 PM),By Economic-Setup - Middle Income (Rs. 1001 to 2000 PM),By Economic-Setup - Upper/Mid Income (From Rs. 2001 to 3000 PM),By Economic-Setup - Upper Income (Above Rs. 3000 PM),By Economic-Setup - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
1,Andhra Pradesh,1016,657,306,36,2015,1131,431,453,2015,1374,420,135,85,1,2015,1916,99,2015
2,Arunachal Pradesh,11,7,6,2,26,17,7,2,26,0,9,17,0,0,26,19,7,26
3,Assam,103,95,77,1,276,159,102,15,276,76,52,96,17,35,276,252,24,276
4,Bihar,476,419,410,249,1554,832,462,260,1554,598,429,291,154,82,1554,1409,145,1554
5,Goa,12,7,6,2,27,23,4,0,27,11,14,1,1,0,27,27,0,27
6,Gujarat,1049,1516,405,43,3013,2680,243,90,3013,1386,1077,437,82,31,3013,2459,554,3013
7,Haryana,61,44,51,28,184,118,37,29,184,67,38,43,36,0,184,167,17,184
8,Himachal Pradesh,9,21,42,5,77,75,2,0,77,17,26,30,4,0,77,77,0,77
9,Jammu & Kashmir,0,6,8,0,14,14,0,0,14,12,2,0,0,0,14,14,0,14
10,Karnataka,269,102,108,28,507,402,56,49,507,336,128,29,14,0,507,473,34,507
11,Kerala,17,54,56,29,156,110,28,18,156,108,33,11,4,0,156,150,6,156
12,Madhya Pradesh,1307,1197,757,273,3534,2851,424,259,3534,211,1967,825,397,134,3534,3289,245,3534
13,Maharashtra,1175,1719,687,131,3712,2682,714,316,3712,2178,1136,293,95,10,3712,3160,552,3712
14,Manipur,1,1,5,0,7,7,0,0,7,2,5,0,0,0,7,7,0,7
15,Meghalaya,41,32,6,0,79,17,34,28,79,42,26,11,0,0,79,47,32,79
16,Mizoram,6,42,12,0,60,50,10,0,60,16,44,0,0,0,60,60,0,60
17,Nagaland,0,16,20,14,50,38,12,0,50,15,20,10,5,0,50,41,9,50
18,Orissa,52,23,18,1,94,79,11,4,94,78,16,0,0,0,94,94,0,94
19,Punjab,0,1,2,0,3,3,0,0,3,0,0,2,0,1,3,3,0,3
20,Rajasthan,295,237,112,38,682,499,148,35,682,370,163,53,78,18,682,648,34,682
21,Sikkim,7,11,5,0,23,13,10,0,23,11,9,3,0,0,23,18,5,23
22,Tamil Nadu,1100,2971,635,52,4758,2708,1269,781,4758,3297,1047,378,35,1,4758,4334,424,4758
23,Tripura,10,16,5,0,31,8,20,3,31,16,15,0,0,0,31,31,0,31
24,Uttar Pradesh,78,24,19,2,123,84,26,13,123,108,11,2,0,2,123,112,11,123
25,West Bengal,19,16,8,0,43,42,0,1,43,36,7,0,0,0,43,43,0,43
Total (States),Total (States),7114,9234,3766,934,21048,14642,4050,2356,21048,10365,6694,2667,1007,315,21048,18850,2198,21048
26,A & N Islands,0,2,5,0,7,7,0,0,7,2,5,0,0,0,7,7,0,7
27,Chandigarh,0,1,1,2,4,4,0,0,4,0,2,2,0,0,4,4,0,4
28,D & N Haveli,0,3,1,0,4,4,0,0,4,0,3,1,0,0,4,2,2,4
29,Daman & Diu,2,2,4,0,8,8,0,0,8,6,2,0,0,0,8,8,0,8
30,Delhi,0,0,260,0,260,260,0,0,260,260,0,0,0,0,260,260,0,260
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,12,10,4,1,27,20,6,1,27,16,8,3,0,0,27,27,0,27
Total (UTs),Total (UTs),14,18,275,3,310,303,6,1,310,284,20,6,0,0,310,308,2,310
Total (All -India),Total (All -India),7128,9252,4041,937,21358,14945,4056,2357,21358,10649,6714,2673,1007,315,21358,19158,2200,21358
33,Ahmedabad,34,215,124,2,375,372,3,0,375,146,203,26,0,0,375,359,16,375
34,Bangalore,151,96,25,0,272,237,23,12,272,189,62,11,6,4,272,251,21,272
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Bombay,143,177,57,0,377,293,57,27,377,190,143,43,0,1,377,330,47,377
37,Calcutta,10,3,0,0,13,12,0,1,13,13,0,0,0,0,13,13,0,13
38,Coimbatore,20,64,5,1,90,88,2,0,90,85,4,1,0,0,90,90,0,90
39,Delhi*,0,0,219,0,219,219,0,0,219,219,0,0,0,0,219,219,0,219
40,Hyderabad,43,19,6,0,68,51,0,17,68,16,19,24,9,0,68,68,0,68
41,Indore,8,10,23,0,41,20,16,5,41,5,20,16,0,0,41,41,0,41
42,Jaipur,57,11,0,0,68,60,8,0,68,68,0,0,0,0,68,68,0,68
43,Kanpur,5,0,0,0,5,0,0,5,5,5,0,0,0,0,5,5,0,5
44,Kochi,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1
45,Lucknow,15,6,0,2,23,15,0,8,23,19,2,0,0,2,23,18,5,23
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madras,183,38,0,0,221,43,39,139,221,193,28,0,0,0,221,176,45,221
48,Madurai,62,91,30,17,200,153,38,9,200,200,0,0,0,0,200,163,37,200
49,Nagpur,13,41,0,0,54,54,0,0,54,39,15,0,0,0,54,41,13,54
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,15,75,40,0,130,106,9,15,130,86,44,0,0,0,130,123,7,130
52,Surat,198,85,24,16,323,145,117,61,323,116,79,61,43,24,323,137,186,323
53,Vadodara,0,7,17,0,24,15,9,0,24,0,18,6,0,0,24,24,0,24
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,24,18,5,19,66,28,11,27,66,31,30,5,0,0,66,66,0,66
