SI.No.,States/UT/City,7-12 Years - Boys,7-12 years - Girls,12-16 Years - Boys,12-16 years - Girls,16-18 Years - Girls only,Overall age Group - Boys,Overall age Group - Girls,Total (Boys + Girls )
1,Andhra Pradesh,179,17,556,63,210,735,290,1025
2,Arunachal Pradesh,5,0,47,1,0,52,1,53
3,Assam,24,4,195,6,11,219,21,240
4,Bihar,132,1,383,29,171,515,201,716
5,Goa,4,0,17,2,7,21,9,30
6,Gujarat,131,20,753,62,361,884,443,1327
7,Haryana,21,1,262,16,55,283,72,355
8,Himachal Pradesh,1,0,47,4,14,48,18,66
9,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,Karnataka,29,2,200,21,79,229,102,331
11,Kerala,2,0,59,4,0,61,4,65
12,Madhya Pradesh,308,25,2252,173,494,2560,692,3252
13,Maharashtra,279,45,1489,100,405,1768,550,2318
14,Manipur,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,13,0,10,13,10,23
16,Mizoram,0,0,11,0,0,11,0,11
17,Nagaland,0,0,0,0,0,0,0,0
18,Orissa,30,4,154,2,6,184,12,196
19,Punjab,0,0,20,3,1,20,4,24
20,Rajasthan,72,12,495,40,245,567,297,864
21,Sikkim,6,1,3,1,0,9,2,11
22,Tamil Nadu,37,13,298,35,132,335,180,515
23,Tripura,17,0,0,0,0,17,0,17
24,Uttar Pradesh,0,0,13,0,5,13,5,18
25,West Bengal,2,0,10,0,6,12,6,18
Total States,Total States,1279,145,7277,562,2212,8556,2919,11475
26,A & N Islands,0,0,2,0,1,2,1,3
27,Chandigarh,2,0,21,0,0,23,0,23
28,D & N Haveli,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0
30,Delhi,15,1,289,11,44,304,56,360
31,Lakshadweep,0,0,1,0,0,1,0,1
32,Pondicherry,0,0,8,1,0,8,1,9
Total (UTs),Total (UTs),17,1,321,12,45,338,58,396
Total (All-India),Total (All-India),1296,146,7598,574,2257,8894,2977,11871
33,Ahmedabad,8,2,141,5,52,149,59,208
34,Bangalore,18,2,68,8,3,86,13,99
35,Bhopal,0,0,3,0,0,3,0,3
36,Calcutta,2,0,2,0,0,4,0,4
37,Chennai,0,0,37,0,0,37,0,37
38,Coimbatore,4,2,5,0,0,9,2,11
39,Delhi,15,1,289,11,44,304,56,360
40,Hyderabad,11,0,95,5,29,106,34,140
41,Indore,9,0,165,7,0,174,7,181
42,Jaipur,14,3,84,12,7,98,22,120
43,Kanpur,0,0,0,0,0,0,0,0
44,Kochi,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,0,0,0,0,0
46,Ludhiana,0,0,13,0,0,13,0,13
47,Madurai,0,0,32,5,5,32,10,42
48,Mumbai,34,0,157,6,22,191,28,219
49,Nagpur,28,0,124,1,7,152,8,160
50,Patna,4,0,29,0,4,33,4,37
51,Pune,14,3,140,5,15,154,23,177
52,Surat,5,0,31,1,8,36,9,45
53,Vadodra,2,0,76,2,14,78,16,94
54,Varanasi,0,0,2,0,0,2,0,2
55,Vishakhapatnam,10,1,64,0,3,74,4,78
Total Cities,Total Cities,178,14,1557,68,213,1735,295,2030
