SI.No.,State/UT/City,Estimated Mid Year Population,Rape - Incidence,Rape - Rate,Rape - percentage contribution to All India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - percentage contribution to All India,Dowry Deaths - Incidence,Dowry Deaths - Rate,Dowry Deaths - percentage contribution to All- India,Cruelty By Husband And Relatives - Incidence,Cruelty By Husband And Relatives - Rate,Cruelty By Husband and Relatives - percentage contribution to All India,Molestation - Incidence,Molestation - Rate,Molestation - percentage contribution to All India,Sexual Harassment (Eve -Teasing ) - Incidence,Sexual Harassment (Eve -Teasing ) - Rate,Sexual Harassment (Eve -Teasing ) - percentage contribution to All India,Importation of Girls - Incidence,Importation of Girls - Rate,Importation of Girls - percentage contribution to All India,Sati Prev.Act - Incidence,Sati Prev.Act - Rate,Sati Prev.Act - percentage contribution to All India,Immoral Traffic (P) Act - Incidence,Immoral Traffic (P) Act - Rate,Immoral Traffic (P) Act - percentage contribution to All India,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Indecent Representation of Women (P) Act - percentage contribution to All India,Dowry Proh.Act - Incidence,Dowry Proh.Act - Rate,Dowry Proh.Act - percentage contribution to All India percentage contribution to All India,Total - Incidence,Total - Rate,Total - percentage contribution to All India
1,Andhra Pradesh,758.5,944,1.2,5.7,716,0.9,4.8,442,0.6,6.3,5399,7.1,11.8,3231,4.3,9.8,2280,3,20.7,0,0,0,0,0,0,482,0.6,5.1,379,0.5,57.3,426,0.6,14.8,14299,18.9,10.1
2,Arunachal Pradesh,12,36,3,0.2,42,3.5,0.3,0,0,0,10,0.8,0,53,4.4,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,11.9,0.1
3,Assam,263,762,2.9,4.6,1101,4.2,7.3,50,0.2,0.7,978,3.7,2.1,777,3,2.4,18,0.1,0.2,0,0,0,0,0,0,17,0.1,0.2,0,0,0,29,0.1,1,3732,14.2,2.6
4,Bihar,1005.6,1570,1.6,9.5,700,0.7,4.7,1085,1.1,15.5,1396,1.4,3,456,0.5,1.4,122,0.1,1.1,40,0,62.5,0,0,0,9,0,0.1,53,0.1,8,868,0.9,30.2,6299,6.3,4.5
5,Goa,16.1,21,1.3,0.1,7,0.4,0,2,0.1,0,13,0.8,0,20,1.2,0.1,9,0.6,0.1,0,0,0,0,0,0,28,1.7,0.3,0,0,0,0,0,0,100,6.2,0.1
6,Gujarat,484.9,330,0.7,2,868,1.8,5.8,93,0.2,1.3,3739,7.7,8.2,944,1.9,2.9,119,0.2,1.1,0,0,0,0,0,0,47,0.1,0.5,0,0,0,0,0,0,6140,12.7,4.3
7,Haryana,199.3,421,2.1,2.6,299,1.5,2,263,1.3,3.8,1286,6.5,2.8,605,3,1.8,423,2.1,3.8,0,0,0,0,0,0,13,0.1,0.1,0,0,0,1,0,0,3311,16.6,2.3
8,Himachal Pradesh,67.4,129,1.9,0.8,95,1.4,0.6,4,0.1,0.1,307,4.6,0.7,288,4.3,0.9,15,0.2,0.1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0.1,842,12.5,0.6
9,Jammu & Kashmir,99.9,183,1.8,1.1,566,5.7,3.8,10,0.1,0.1,51,0.5,0.1,480,4.8,1.5,342,3.4,3.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1634,16.4,1.2
10,Karnataka,523,281,0.5,1.7,323,0.6,2.2,217,0.4,3.1,1688,3.2,3.7,1568,3,4.8,75,0.1,0.7,0,0,0,0,0,0,1308,2.5,13.7,0,0,0,392,0.7,13.6,5852,11.2,4.1
11,Kerala,323.5,552,1.7,3.3,89,0.3,0.6,25,0.1,0.4,2418,7.5,5.3,1695,5.2,5.1,69,0.2,0.6,0,0,0,0,0,0,92,0.3,1,35,0.1,5.3,7,0,0.2,4982,15.4,3.5
12,Madhya Pradesh,802.3,3737,4.7,22.7,869,1.1,5.8,685,0.9,9.8,3092,3.9,6.8,8516,10.6,25.9,840,1,7.6,4,0,6.3,0,0,0,23,0,0.2,0,0,0,136,0.2,4.7,17902,22.3,12.7
13,Maharashtra,914.3,1310,1.4,7.9,662,0.7,4.4,371,0.4,5.3,6768,7.4,14.8,2805,3.1,8.5,930,1,8.4,0,0,0,0,0,0,160,0.2,1.7,149,0.2,22.5,22,0,0.8,13177,14.4,9.3
14,Manipur,25.4,8,0.3,0,44,1.7,0.3,0,0,0,4,0.2,0,18,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2.9,0.1
15,Meghalaya,24.5,35,1.4,0.2,13,0.5,0.1,0,0,0,0,0,0,8,0.3,0,13,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2.8,0
16,Mizoram,9.6,58,6,0.4,3,0.3,0,0,0,0,0,0,0,70,7.3,0.2,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,133,13.9,0.1
17,Nagaland,17,14,0.8,0.1,4,0.2,0,1,0.1,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,22,1.3,0
18,Orissa,359.6,747,2.1,4.5,359,1,2.4,276,0.8,3.9,1088,3,2.4,1658,4.6,5,135,0.4,1.2,13,0,20.3,0,0,0,17,0,0.2,0,0,0,424,1.2,14.7,4717,13.1,3.3
19,Punjab,236.2,334,1.4,2,292,1.2,1.9,199,0.8,2.8,917,3.9,2,340,1.4,1,40,0.2,0.4,0,0,0,0,0,0,26,0.1,0.3,5,0,0.8,3,0,0.1,2156,9.1,1.5
20,Rajasthan,538.7,1242,2.3,7.5,2550,4.7,17,429,0.8,6.1,5437,10.1,11.9,3092,5.7,9.4,50,0.1,0.5,0,0,0,0,0,0,110,0.2,1.2,29,0.1,4.4,3,0,0.1,12942,24,9.2
21,Sikkim,5.6,6,1.1,0,1,0.2,0,0,0,0,14,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3.7,0
22,Tamil Nadu,619.3,538,0.9,3.3,805,1.3,5.4,191,0.3,2.7,837,1.4,1.8,1948,3.1,5.9,2167,3.5,19.7,7,0,10.9,0,0,0,6950,11.2,73,2,0,0.3,287,0.5,10,13732,22.2,9.7
23,Tripura,38.1,86,2.3,0.5,40,1.1,0.3,16,0.4,0.2,129,3.4,0.3,59,1.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,8.7,0.2
24,Uttar Pradesh,1715.4,1865,1.1,11.3,2755,1.6,18.3,2222,1.3,31.8,6021,3.5,13.2,2607,1.5,7.9,3160,1.8,28.7,0,0,0,0,0,0,30,0,0.3,4,0,0.6,256,0.1,8.9,18920,11,13.4
25,West Bengal,793.3,814,1,4.9,749,0.9,5,284,0.4,4.1,4025,5.1,8.8,1057,1.3,3.2,55,0.1,0.5,0,0,0,0,0,0,49,0.1,0.5,5,0,0.8,5,0,0.2,7043,8.9,5
Total States,Total States,9852.4,16023,1.6,97.1,13952,1.4,92.9,6865,0.7,98.1,45617,4.6,99.6,32297,3.3,98,10864,1.1,98.5,64,0,100,0,0,0,9367,1,98.4,661,0.1,99.8,2862,0.3,99.5,138572,14.1,98
26,A & N Islands,3.9,5,1.3,0,3,0.8,0,0,0,0,12,3.1,0,23,5.9,0.1,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,45,11.6,0
27,Chandigarh,8.9,23,2.6,0.1,52,5.8,0.3,2,0.2,0,36,4,0.1,34,3.8,0.1,8,0.9,0.1,0,0,0,0,0,0,6,0.7,0.1,0,0,0,0,0,0,161,18,0.1
28,D & N Haveli,1.9,3,1.6,0,7,3.6,0,0,0,0,2,1,0,4,2.1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8.9,0
29,Daman & DIU,1.4,1,0.7,0,3,2.1,0,0,0,0,2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.3,0
30,Delhi,141,435,3.1,2.6,998,7.1,6.6,125,0.9,1.8,106,0.8,0.2,549,3.9,1.7,123,0.9,1.1,0,0,0,0,0,0,94,0.7,1,0,0,0,9,0.1,0.3,2439,17.3,1.7
31,Lakshadweep,0.7,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0
32,Pondicherry,11.2,5,0.4,0,8,0.7,0.1,3,0.3,0,3,0.3,0,33,2.9,0.1,27,2.4,0.2,0,0,0,0,0,0,48,4.3,0.5,1,0.1,0.2,4,0.4,0.1,132,11.8,0.1
Total (UTs),Total (UTs),169,473,2.8,2.9,1071,6.3,7.1,130,0.8,1.9,161,1,0.4,643,3.8,2,160,0.9,1.5,0,0,0,0,0,0,148,0.9,1.6,1,0.9,0.2,14,0.1,0.5,2801,16.6,2
Total (All -India),Total (All -India),10021.4,16496,1.6,100,15023,1.5,100,6995,0.7,100,45778,4.6,100,32940,3.3,100,11024,1.1,100,64,0,100,0,0,0,9515,0.9,100,662,0.1,100,2876,0.3,100,141373,14.1,100
33,Ahmedabad,42.8,11,0.3,1,72,1.7,3.8,3,0.1,0.6,357,8.3,8.2,35,0.8,1.7,28,0.7,2.1,0,0,0,0,0,0,4,0.1,0.1,0,0,0,0,0,0,510,11.9,3
34,Bangalore,57.1,27,0.5,2.5,68,1.2,3.6,55,1,10.7,250,4.4,5.7,219,3.8,10.6,41,0.7,3.1,0,0,0,0,0,0,332,5.8,7,0,0,0,263,4.6,56.8,1255,22,7.5
35,Bhopal,16.9,54,3.2,5,38,2.3,2,12,0.7,2.3,72,4.3,1.7,116,6.9,5.6,25,1.5,1.9,0,0,0,0,0,0,2,0.1,0,0,0,0,1,0.1,0.2,320,19,1.9
36,Calcutta,67.5,24,0.4,2.2,13,0.2,0.7,22,0.3,4.3,112,1.7,2.6,47,0.7,2.3,49,0.7,3.7,0,0,0,0,0,0,3658,54.2,77.6,0,0,0,112,1.7,24.2,4037,59.8,24
37,Chennai,13,6,0.5,0.6,11,0.8,0.6,7,0.5,1.4,35,2.7,0.8,17,1.3,0.8,60,4.6,4.5,0,0,0,0,0,0,147,11.3,3.1,0,0,0,0,0,0,283,21.8,1.7
38,Coimbatore,120.6,374,3.1,34.7,869,7.2,45.9,102,0.8,19.9,76,0.6,1.7,488,4,23.6,110,0.9,8.3,0,0,0,0,0,0,94,0.8,2,0,0,0,9,0.1,1.9,2122,17.6,12.6
39,Delhi,71.5,50,0.7,4.6,36,0.5,1.9,32,0.4,6.3,754,10.5,17.3,98,1.4,4.7,38,0.5,2.9,0,0,0,0,0,0,20,0.3,0.4,191,2.7,55,8,0.1,1.7,1227,17.2,7.3
40,Hyderabad,14.6,49,3.4,4.5,43,3,2.3,21,1.4,4.1,136,9.3,3.1,91,6.3,4.4,28,1.9,2.1,0,0,0,0,0,0,2,0.1,0,0,0,0,2,0.1,0.4,372,25.6,2.2
41,Indore,22.1,35,1.6,3.2,165,7.5,8.7,26,1.2,5.1,412,18.6,9.5,156,7.1,7.6,0,0,0,0,0,0,0,0,0,10,0.5,0.2,0,0,0,0,0,0,804,36.4,4.8
42,Jaipur,24.8,48,1.9,4.5,149,6,7.9,71,2.9,13.9,319,12.9,7.3,77,3.1,3.7,260,10.5,19.6,0,0,0,0,0,0,0,0,0,0,0,0,32,1.3,6.9,956,38.6,5.7
43,Kanpur,18.3,10,0.5,0.9,5,0.3,0.3,0,0,0,46,2.5,1.1,52,2.8,2.5,4,0.2,0.3,0,0,0,0,0,0,5,0.3,0.1,3,0.2,0.9,0,0,0,125,6.8,0.7
44,Kochi,130.6,35,0.3,3.2,71,0.5,3.7,15,0.1,2.9,196,1.5,4.5,152,1.2,7.4,46,0.4,3.5,0,0,0,0,0,0,43,0.3,0.9,0,0,0,0,0,0,558,4.3,3.3
45,Lucknow,26.7,29,1.1,2.7,125,4.7,6.6,22,0.8,4.3,291,10.9,6.7,57,2.1,2.8,147,5.5,11.1,0,0,0,0,0,0,3,0.1,0.1,4,0.1,1.2,5,0.2,1.1,683,25.5,4.1
46,Ludhiana,17.3,35,2,3.2,19,1.1,1,12,0.7,2.3,204,11.8,4.7,8,0.5,0.4,0,0,0,0,0,0,0,0,0,6,0.3,0.1,5,0.3,1.4,0,0,0,289,16.7,1.7
47,Madurai,12.8,8,0.6,0.7,11,0.9,0.6,5,0.4,1,41,3.2,0.9,22,1.7,1.1,94,7.3,7.1,0,0,0,0,0,0,198,15.4,4.2,0,0,0,1,0.1,0.2,380,29.6,2.3
48,Mumbai,187.1,124,0.7,11.5,16,0.1,0.8,13,0.1,2.5,137,0.7,3.1,206,1.1,10,131,0.7,9.9,0,0,0,0,0,0,117,0.6,2.5,144,0.8,41.5,0,0,0,888,4.7,5.3
49,Nagpur,20.9,36,1.7,3.3,45,2.2,2.4,9,0.4,1.8,198,9.5,4.5,83,4,4,64,3.1,4.8,0,0,0,0,0,0,4,0.2,0.1,0,0,0,4,0.2,0.9,443,21.2,2.6
50,Patna,13,26,2,2.4,6,0.5,0.3,34,2.6,6.6,68,5.2,1.6,21,1.6,1,0,0,0,33,2.5,100,0,0,0,3,0.2,0.1,0,0,0,21,1.6,4.5,212,16.3,1.3
51,Pune,35.9,49,1.4,4.5,20,0.6,1.1,1,0,0.2,121,3.4,2.8,57,1.6,2.8,98,2.7,7.4,0,0,0,0,0,0,5,0.1,0.1,0,0,0,1,0,0.2,352,9.8,2.1
52,Surat,24.4,16,0.7,1.5,40,1.6,2.1,33,1.4,6.4,103,4.2,2.4,9,0.4,0.4,6,0.2,0.5,0,0,0,0,0,0,36,1.5,0.8,0,0,0,0,0,0,243,10,1.4
53,Vadodra,16.6,6,0.4,0.6,42,2.5,2.2,2,0.1,0.4,173,10.4,4,8,0.5,0.4,9,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,14.5,1.4
54,Varanasi,13.1,12,0.9,1.1,23,1.8,1.2,12,0.9,2.3,60,4.6,1.4,6,0.5,0.3,86,6.6,6.5,0,0,0,0,0,0,3,0.2,0.1,0,0,0,4,0.3,0.9,206,15.7,1.2
55,Vishakhapatnam,17.8,14,0.8,1.3,8,0.4,0.4,3,0.2,0.6,192,10.8,4.4,41,2.3,2,4,0.2,0.3,0,0,0,0,0,0,20,1.1,0.4,0,0,0,0,0,0,282,15.8,1.7
Total Cities,Total Cities,985.4,1078,1.1,100,1895,1.9,100,512,0.5,100,4353,4.4,100,2066,2.1,100,1328,1.3,100,33,0,100,0,0,0,4712,4.8,100,347,0.4,100,463,0.5,100,16787,17,100
