SI.No.,States/UT/City,No. of Victims Murdered by Firearms (Licensed + Unlicensed),No. of Victims Murdered by Licensed Arms,No. of Victims Murdered by Unlicensed Arms
1,Andhra Pradesh,137,2,135
2,Arunachal Pradesh,12,2,10
3,Assam,385,0,385
4,Bihar,2082,60,2022
5,Goa,3,2,1
6,Gujarat,18,3,15
7,Haryana,127,34,93
8,Himachal Pradesh,2,2,0
9,Jammu & Kashmir,766,0,766
10,Karnataka,16,10,6
11,Kerala,2,0,2
12,Madhya Pradesh,287,93,194
13,Maharashtra,82,13,69
14,Manipur,194,16,178
15,Meghalaya,11,1,10
16,Mizoram,0,0,0
17,Nagaland,35,12,23
18,Orissa,10,0,10
19,Punjab,141,56,85
20,Rajasthan,167,22,145
21,Sikkim,0,0,0
22,Tamil Nadu,7,4,3
23,Tripura,168,0,168
24,Uttar Pradesh,3482,239,3243
25,West Bengal,175,9,166
Total States,Total States,8309,580,7729
26,A & N Islands,0,0,0
27,Chandigarh,0,0,0
28,D & N Haveli,0,0,0
29,Daman & DIU,0,0,0
30,Delhi,61,9,52
31,Lakshadweep,0,0,0
32,Pondicherry,0,0,0
Total (UTs),Total (UTs),61,9,52
Total (All -India),Total (All -India),8370,589,7781
33,Ahmedabad,4,0,4
34,Bangalore,0,0,0
35,Bhopal,0,0,0
36,Calcutta,0,0,0
37,Chennai,0,0,0
38,Coimbatore,61,9,52
39,Delhi,37,0,37
40,Hyderabad,1,0,1
41,Indore,1,0,1
42,Jaipur,121,1,120
43,Kanpur,0,0,0
44,Kochi,14,0,14
45,Lucknow,34,6,28
46,Ludhiana,3,3,0
47,Madurai,0,0,0
48,Mumbai,48,4,44
49,Nagpur,1,1,0
50,Patna,227,26,201
51,Pune,3,0,3
52,Surat,4,1,3
53,Vadodra,2,0,2
54,Varanasi,9,1,8
55,Vishakhapatnam,0,0,0
Total Cities,Total Cities,570,52,518
