Category,States/ UTs,No. of Victims Murdered - by Firearms (Licensed + Unlicensed),No. of Victims Murdered - by Licensed Arms,No. of Victims Murdered - by Unlicensed Arms
State,Andhra Pradesh,156,3,153
State,Arunachal Pradesh,5,4,1
State,Assam,215,77,138
State,Bihar,1413,55,1358
State,Chhattisgarh,844,0,844
State,Goa,2,1,1
State,Gujarat,56,8,48
State,Haryana,122,23,99
State,Himachal Pradesh,4,4,0
State,Jammu & Kashmir,956,0,956
State,Jharkhand,181,39,142
State,Karnataka,7,5,2
State,Kerala,0,0,0
State,Madhya Pradesh,210,50,160
State,Maharashtra,55,9,46
State,Manipur,150,8,142
State,Meghalaya,10,0,10
State,Mizoram,0,0,0
State,Nagaland,42,3,39
State,Orissa,21,2,19
State,Punjab,213,75,138
State,Rajasthan,98,42,56
State,Sikkim,0,0,0
State,Tamil Nadu,9,4,5
State,Tripura,97,0,97
State,Uttar Pradesh,4098,403,3695
State,Uttaranchal,117,4,113
State,West Bengal,168,12,156
State,Total (States),9249,831,8418
Union Territory,A & N Islands,0,0,0
Union Territory,Chandigarh,1,0,1
Union Territory,D & N Haveli,0,0,0
Union Territory,Daman & Diu,0,0,0
Union Territory,Delhi,43,6,37
Union Territory,Lakshadweep,0,0,0
Union Territory,Puducherry,0,0,0
Union Territory,Total (UTs),44,6,38
Total (All-India),Total (All-India),9293,837,8456
