Year,Boys,Girls,Total,Percentage of Girls
1993,16391,3676,20067,18.3
1994,13852,3351,17203,19.5
1995,14542,4251,18793,22.6
1996,14068,5030,19098,26.3
1997,14282,3514,17796,19.7
1998,13974,4949,18923,26.2
1999,13088,5372,18460,29.1
2000,13854,4128,17982,23
2001,31295,2333,33628,6.9
2002,33551,2228,35779,6.2
2003,30985,2335,33320,7
