Category,States/ UTs,By Education - Illiterate,By Education - Primary,By Education - Above Primary but Below Matric/H.Sec.,By Education - Matric / H.Sec. & Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,"By Economic-Setup - Annual Income (Upto Rs.25,000)","By Economic-Setup - Annual Income (Rs. 25001 to Rs.50,000)","By Economic-Setup - Middle Income (Rs. 50001 to Rs. 1,00,000)","By Economic-Setup - Middle Income (Rs. 100001 to Rs. 2,00,000)","By Economic-Setup - Upper Middle Income (Rs. 200001 to Rs. 3,00,000)","By Economic-Setup - Upper Income (Above Rs. 3,00,000)",By Economic-Setup - Total,By Recidivism - New Delinquent,By Recidivism - Old Delinquent,By Recidivism - Total
State,Andhra Pradesh,1193,817,513,150,2673,1561,380,732,2673,1774,617,277,5,0,0,2673,2376,297,2673
State,Arunachal Pradesh,69,75,52,0,196,98,98,0,196,69,63,64,0,0,0,196,173,23,196
State,Assam,127,98,73,80,378,217,143,18,378,274,40,34,17,6,7,378,327,51,378
State,Bihar,105,84,77,26,292,192,68,32,292,150,123,14,5,0,0,292,273,19,292
State,Chhattisgarh,416,740,423,23,1602,1362,112,128,1602,1174,323,62,37,5,1,1602,1533,69,1602
State,Goa,34,19,27,7,87,85,1,1,87,75,5,6,1,0,0,87,77,10,87
State,Gujarat,613,1375,572,157,2717,2303,251,163,2717,2163,484,57,10,2,1,2717,2313,404,2717
State,Haryana,245,474,997,310,2026,1740,189,97,2026,1178,493,202,84,69,0,2026,2012,14,2026
State,Himachal Pradesh,6,25,63,30,124,102,22,0,124,49,32,42,1,0,0,124,109,15,124
State,Jammu & Kashmir,0,1,17,0,18,18,0,0,18,15,2,1,0,0,0,18,18,0,18
State,Jharkhand,250,210,175,186,821,375,446,0,821,305,287,135,94,0,0,821,375,446,821
State,Karnataka,80,122,104,52,358,197,82,79,358,263,72,23,0,0,0,358,349,9,358
State,Kerala,33,80,288,363,764,651,92,21,764,248,467,48,1,0,0,764,749,15,764
State,Madhya Pradesh,1909,4051,1282,430,7672,6506,947,219,7672,5137,1682,766,72,15,0,7672,7167,505,7672
State,Maharashtra,919,2268,1520,363,5070,4120,834,116,5070,4328,481,160,80,14,7,5070,4674,396,5070
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,15,12,8,0,35,22,11,2,35,31,4,0,0,0,0,35,29,6,35
State,Mizoram,3,35,34,10,82,78,4,0,82,61,17,3,1,0,0,82,78,4,82
State,Nagaland,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1
State,Orissa,143,78,77,15,313,235,65,13,313,286,26,1,0,0,0,313,310,3,313
State,Punjab,83,20,10,19,132,131,1,0,132,105,20,4,3,0,0,132,83,49,132
State,Rajasthan,277,833,700,52,1862,1671,100,91,1862,1322,339,155,28,18,0,1862,1699,163,1862
State,Sikkim,0,17,0,0,17,17,0,0,17,17,0,0,0,0,0,17,17,0,17
State,Tamil Nadu,2605,1764,248,278,4895,3762,783,350,4895,4712,178,3,1,1,0,4895,4804,91,4895
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,19,12,19,11,61,54,5,2,61,43,8,10,0,0,0,61,60,1,61
State,Uttaranchal,0,0,7,23,30,30,0,0,30,4,15,11,0,0,0,30,30,0,30
State,West Bengal,68,47,8,0,123,70,32,21,123,88,35,0,0,0,0,123,123,0,123
State,Total (States),9212,13257,7295,2585,32349,25598,4666,2085,32349,23872,5813,2078,440,130,16,32349,29759,2590,32349
Union Territory,A & N Islands,0,2,7,0,9,9,0,0,9,2,3,4,0,0,0,9,9,0,9
Union Territory,Chandigarh,24,14,72,6,116,113,0,3,116,23,41,48,4,0,0,116,116,0,116
Union Territory,D & N Haveli,0,1,1,0,2,2,0,0,2,2,0,0,0,0,0,2,2,0,2
Union Territory,Daman & Diu,0,0,2,0,2,2,0,0,2,0,0,2,0,0,0,2,2,0,2
Union Territory,Delhi,380,197,200,25,802,678,60,64,802,659,119,18,6,0,0,802,737,65,802
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,2,34,4,0,40,33,3,4,40,35,5,0,0,0,0,40,40,0,40
Union Territory,Total (UTs),406,248,286,31,971,837,63,71,971,721,168,72,10,0,0,971,906,65,971
Total (All-India),Total (All-India),9618,13505,7581,2616,33320,26435,4729,2156,33320,24593,5981,2150,450,130,16,33320,30665,2655,33320
