Category,States/UTs,No. of Victims Murdered by Firearms (Licensed + Unlicensed),No. of Victims Murdered by Licensed Arms,No. of Victims Murdered by Unlicensed Arms
State,Andhra Pradesh,187,13,174
State,Arunachal Pradesh,6,5,1
State,Assam,17,1,16
State,Bihar,1095,45,1050
State,Chhattisgarh,193,27,166
State,Goa,1,0,1
State,Gujarat,22,9,13
State,Haryana,193,19,174
State,Himachal Pradesh,5,5,0
State,Jammu & Kashmir,629,1,628
State,Jharkhand,108,0,108
State,Karnataka,11,9,2
State,Kerala,2,0,2
State,Madhya Pradesh,268,61,207
State,Maharashtra,64,7,57
State,Manipur,234,3,231
State,Meghalaya,5,0,5
State,Mizoram,10,4,6
State,Nagaland,37,7,30
State,Orissa,11,0,11
State,Punjab,62,54,8
State,Rajasthan,74,13,61
State,Sikkim,0,0,0
State,Tamil Nadu,2,1,1
State,Tripura,36,0,36
State,Uttar Pradesh,2144,257,1887
State,Uttaranchal,39,3,36
State,West Bengal,154,0,154
State,Total (States),5609,544,5065
Union Territory,A & N Islands,0,0,0
Union Territory,Chandigarh,0,0,0
Union Territory,D & N Haveli,0,0,0
Union Territory,Daman & Diu,0,0,0
Union Territory,Delhi,34,12,22
Union Territory,Lakshadweep,0,0,0
Union Territory,Pondicherry,0,0,0
Union Territory,Total (UTs),34,12,22
Total (All-India),Total (All-India),5643,556,5087
