Category,States/ UTs,Education - Illiterate,Education - Primary,Education - Above Primary But Below Matric/ H.Sec.,Education - Matric / H.Sec. & Above,Family Background - Total,Family Background - Living With Parents,Family Background - Living With Guardians,Family Background - Homeless,Family Background - Total,"Economic Status - Annual Income (Upto Rs.25,000)","Economic Status - Annual Income (Rs. 25,001 to Rs.50,000)","Economic Status - Middle Income (Rs. 50,001 to Rs. 1,00,000)","Economic Status - Middle Income (Rs. 1,00,001 to Rs. 2,00,000)","Economic Status - Upper Middle Income (Rs. 2,00,001 to Rs. 3,00,000)","Economic Status - Upper Income (Above Rs. 3,00,000)",Economic Status - Total,Recidivism - New Delinquent,Recidivism - Old Delinquent,Recidivism - Total
State,Andhra Pradesh,749,707,317,180,1953,1335,251,367,1953,1550,297,54,40,3,9,1953,1656,297,1953
State,Arunachal Pradesh,20,46,39,0,105,50,55,0,105,40,56,9,0,0,0,105,105,0,105
State,Assam,255,246,362,292,1155,514,371,270,1155,1050,76,23,6,0,0,1155,803,352,1155
State,Bihar,491,349,592,37,1469,1106,297,66,1469,879,404,174,12,0,0,1469,1394,75,1469
State,Chhattisgarh,346,842,553,286,2027,1527,350,150,2027,1249,314,157,157,83,67,2027,1811,216,2027
State,Goa,20,29,23,5,77,64,8,5,77,50,20,5,0,1,1,77,77,0,77
State,Gujarat,520,1348,726,284,2878,2357,260,261,2878,2333,416,124,3,2,0,2878,2528,350,2878
State,Haryana,214,515,945,166,1840,1690,104,46,1840,849,778,161,50,0,2,1840,1828,12,1840
State,Himachal Pradesh,5,8,75,57,145,145,0,0,145,73,53,17,2,0,0,145,145,0,145
State,Jammu & Kashmir,3,2,3,7,15,15,0,0,15,5,5,5,0,0,0,15,15,0,15
State,Jharkhand,161,185,109,54,509,306,132,71,509,466,36,7,0,0,0,509,430,79,509
State,Karnataka,50,88,419,60,617,512,81,24,617,446,97,46,23,5,0,617,571,46,617
State,Kerala,14,159,318,184,675,611,44,20,675,289,233,112,41,0,0,675,643,32,675
State,Madhya Pradesh,1752,2618,2231,749,7350,5597,1364,389,7350,4755,1595,650,343,7,0,7350,6711,639,7350
State,Maharashtra,1236,3063,2045,492,6836,5792,870,174,6836,4945,1334,304,231,11,11,6836,6420,416,6836
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,55,40,6,5,106,70,35,1,106,97,9,0,0,0,0,106,87,19,106
State,Mizoram,0,32,59,0,91,91,0,0,91,56,35,0,0,0,0,91,52,39,91
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,148,217,229,64,658,435,157,66,658,446,164,48,0,0,0,658,654,4,658
State,Punjab,44,41,29,15,129,129,0,0,129,63,63,0,0,0,3,129,129,0,129
State,Rajasthan,539,743,699,143,2124,1899,200,25,2124,1269,579,182,76,18,0,2124,2015,109,2124
State,Sikkim,38,48,8,0,94,94,0,0,94,94,0,0,0,0,0,94,94,0,94
State,Tamil Nadu,639,680,394,8,1721,1185,247,289,1721,1448,179,94,0,0,0,1721,1661,60,1721
State,Tripura,1,1,0,0,2,0,2,0,2,0,2,0,0,0,0,2,2,0,2
State,Uttar Pradesh,56,171,102,98,427,381,46,0,427,209,127,69,22,0,0,427,424,3,427
State,Uttarakhand,6,32,34,57,129,100,29,0,129,103,12,14,0,0,0,129,124,5,129
State,West Bengal,51,48,41,5,145,96,35,14,145,105,37,1,2,0,0,145,140,5,145
State,Total (States),7413,12258,10358,3248,33277,26101,4938,2238,33277,22869,6921,2256,1008,130,93,33277,30519,2758,33277
Union Territory,A & N Islands,0,40,32,3,75,69,6,0,75,13,57,5,0,0,0,75,73,2,75
Union Territory,Chandigarh,15,25,58,20,118,112,4,2,118,33,51,17,15,2,0,118,118,0,118
Union Territory,D & N Haveli,0,9,2,0,11,11,0,0,11,2,9,0,0,0,0,11,0,11,11
Union Territory,Daman & Diu,3,0,0,11,14,11,3,0,14,3,11,0,0,0,0,14,8,6,14
Union Territory,Delhi,490,270,170,40,970,711,145,114,970,689,210,53,14,4,0,970,811,159,970
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,5,57,0,0,62,59,3,0,62,17,37,8,0,0,0,62,62,0,62
Union Territory,Total (UTs),513,401,262,74,1250,973,161,116,1250,757,375,83,29,6,0,1250,1072,178,1250
Total (All-India),Total (All-India),7926,12659,10620,3322,34527,27074,5099,2354,34527,23626,7296,2339,1037,136,93,34527,31591,2936,34527
