Sl. No.,Category,States/ UTs,Number of Victims - Upto 10 Years (Male),Number of Victims - Upto 10 Years (Female),Number of Victims - Upto 10 Years (Total),Number of Victims - 10-15 Years (Male),Number of Victims - 10-15 Years (Female),Number of Victims - 10-15 Years (Total),Number of Victims - 15-18 Years (Male),Number of Victims - 15-18 Years (Female),Number of Victims - 15-18 Years (Total),Number of Victims - 18-30 Years (Male),Number of Victims - 18-30 Years (Female),Number of Victims - 18-30 Years (Total),Number of Victims - 30-50 Years (Male),Number of Victims - 30-50 Years (Female),Number of Victims - 30-50 Years (Total),Number of Victims - Above 50 Years (Male),Number of Victims - Above 50 Years (Female),Number of Victims - Above 50 Years (Total),Number of Victims - Total of All Age Groups (Male),Number of Victims - Total of All Age Groups (Female),Number of Victims - Total of All Age Groups (Total)
1,State,Andhra Pradesh,2,1,3,0,0,0,8,0,8,51,12,63,71,5,76,19,3,22,151,21,172
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
3,State,Assam,0,0,0,0,0,0,0,0,0,46,0,46,25,0,25,0,0,0,71,0,71
4,State,Bihar,0,0,0,0,0,0,0,0,0,181,14,195,154,9,163,27,1,28,362,24,386
5,State,Chhattisgarh,2,1,3,0,0,0,0,0,0,4,2,6,8,1,9,0,0,0,14,4,18
6,State,Goa,1,1,2,1,1,2,0,0,0,1,2,3,8,3,11,2,1,3,13,8,21
7,State,Gujarat,7,4,11,3,2,5,1,2,3,33,9,42,24,7,31,4,3,7,72,27,99
8,State,Haryana,5,0,5,1,0,1,2,1,3,30,8,38,42,4,46,3,1,4,83,14,97
9,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,1,1,2,3,0,3,0,0,0,4,1,5
10,State,Jammu & Kashmir,0,0,0,0,0,0,1,0,1,23,0,23,11,0,11,1,0,1,36,0,36
11,State,Jharkhand,0,0,0,0,0,0,0,0,0,69,11,80,24,5,29,3,0,3,96,16,112
12,State,Karnataka,2,0,2,1,0,1,1,0,1,23,4,27,34,13,47,5,1,6,66,18,84
13,State,Kerala,4,3,7,1,2,3,0,1,1,24,5,29,33,4,37,17,2,19,79,17,96
14,State,Madhya Pradesh,10,6,16,4,8,12,5,2,7,79,19,98,71,14,85,20,1,21,189,50,239
15,State,Maharashtra,7,3,10,4,4,8,1,1,2,41,24,65,82,14,96,15,5,20,150,51,201
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,1,2,2,4
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,5,0,5,1,0,1,0,0,0,6,0,6
18,State,Mizoram,0,0,0,0,0,0,0,0,0,4,1,5,1,0,1,0,0,0,5,1,6
19,State,Nagaland,0,0,0,0,0,0,0,0,0,9,1,10,3,1,4,0,0,0,12,2,14
20,State,Orissa,0,1,1,0,0,0,4,2,6,20,10,30,18,12,30,10,7,17,52,32,84
21,State,Punjab,5,2,7,4,0,4,3,0,3,46,9,55,62,12,74,8,4,12,128,27,155
22,State,Rajasthan,2,0,2,0,1,1,2,0,2,19,0,19,24,2,26,4,0,4,51,3,54
23,State,Sikkim,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,5,1,6
24,State,Tamil Nadu,1,0,1,0,0,0,0,0,0,8,3,11,14,0,14,1,1,2,24,4,28
25,State,Tripura,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2
26,State,Uttar Pradesh,4,2,6,9,2,11,50,20,70,645,121,766,453,68,521,114,9,123,1275,222,1497
27,State,Uttarakhand,0,0,0,0,0,0,0,0,0,17,4,21,14,2,16,3,0,3,34,6,40
28,State,West Bengal,0,0,0,0,0,0,1,1,2,182,63,245,195,13,208,31,2,33,409,79,488
State,State,Total (States),52,24,76,28,20,48,80,30,110,1567,326,1893,1378,189,1567,288,41,329,3393,630,4023
29,Union Territory,A & N Islands,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,5,1,6
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,1,0,1,1,0,1,1,0,1,40,0,40,19,2,21,2,0,2,64,2,66
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,3,0,3
Union Territory,Union Territory,Total (UTs),1,1,2,1,0,1,1,0,1,47,1,48,19,3,22,3,0,3,72,5,77
Total (All India),Total (All India),Total (All India),53,25,78,29,20,49,81,30,111,1614,327,1941,1397,192,1589,291,41,332,3465,635,4100
