Sl. No.,Category,States/ UTs,Number of Victims - Upto 10 Years (Male),Number of Victims - Upto 10 Years (Female),Number of Victims - Upto 10 Years (Total),Number of Victims - 10-15 Years (Male),Number of Victims - 10-15 Years (Female),Number of Victims - 10-15 Years (Total),Number of Victims - 15-18 Years (Male),Number of Victims - 15-18 Years (Female),Number of Victims - 15-18 Years (Total),Number of Victims - 18-30 Years (Male),Number of Victims - 18-30 Years (Female),Number of Victims - 18-30 Years (Total),Number of Victims - 30-50 Years (Male),Number of Victims - 30-50 Years (Female),Number of Victims - 30-50 Years (Total),Number of Victims - Above 50 Years (Male),Number of Victims - Above 50 Years (Female),Number of Victims - Above 50 Years (Total),Number of Victims - Total of All Age Groups (Male),Number of Victims - Total of All Age Groups (Female),Number of Victims - Total of All Age Groups (Total)
1,State,Andhra Pradesh,11,25,36,14,7,21,55,9,64,855,411,1266,776,296,1072,221,82,303,1932,830,2762
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,40,0,40,29,1,30,2,0,2,71,1,72
3,State,Assam,0,0,0,1,0,1,0,0,0,790,61,851,477,42,519,55,0,55,1323,103,1426
4,State,Bihar,25,12,37,11,8,19,48,12,60,1401,436,1837,921,151,1072,96,18,114,2502,637,3139
5,State,Chhattisgarh,13,10,23,12,7,19,29,27,56,282,129,411,358,150,508,112,40,152,806,363,1169
6,State,Goa,0,2,2,0,1,1,0,0,0,10,8,18,17,4,21,6,5,11,33,20,53
7,State,Gujarat,23,24,47,6,3,9,8,2,10,312,137,449,378,145,523,78,29,107,805,340,1145
8,State,Haryana,4,3,7,6,5,11,8,5,13,307,97,404,360,63,423,100,12,112,785,185,970
9,State,Himachal Pradesh,3,1,4,1,2,3,4,3,7,27,10,37,49,16,65,10,4,14,94,36,130
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,94,13,107,126,15,141,16,2,18,236,30,266
11,State,Jharkhand,2,2,4,0,0,0,6,1,7,726,115,841,624,123,747,73,25,98,1431,266,1697
12,State,Karnataka,58,49,107,11,17,28,18,14,32,428,272,700,532,229,761,129,43,172,1176,624,1800
13,State,Kerala,14,25,39,5,5,10,0,0,0,62,24,86,116,51,167,54,23,77,251,128,379
14,State,Madhya Pradesh,11,11,22,55,13,68,11,6,17,695,235,930,815,187,1002,248,64,312,1835,516,2351
15,State,Maharashtra,54,62,116,32,11,43,20,21,41,700,541,1241,859,341,1200,262,73,335,1927,1049,2976
16,State,Manipur,3,2,5,4,0,4,3,0,3,132,9,141,95,8,103,12,0,12,249,19,268
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,54,11,65,48,4,52,9,0,9,111,15,126
18,State,Mizoram,0,0,0,0,0,0,0,0,0,23,1,24,10,1,11,0,0,0,33,2,35
19,State,Nagaland,0,0,0,0,0,0,0,0,0,81,5,86,57,1,58,3,0,3,141,6,147
20,State,Orissa,4,2,6,2,2,4,3,0,3,276,257,533,369,237,606,51,47,98,705,545,1250
21,State,Punjab,7,3,10,4,5,9,6,7,13,266,120,386,247,67,314,66,17,83,596,219,815
22,State,Rajasthan,13,8,21,18,6,24,36,12,48,398,129,527,467,102,569,101,30,131,1033,287,1320
23,State,Sikkim,0,0,0,0,0,0,2,0,2,1,3,4,3,0,3,0,0,0,6,3,9
24,State,Tamil Nadu,43,45,88,5,3,8,0,4,4,364,233,597,554,246,800,234,93,327,1200,624,1824
25,State,Tripura,4,3,7,7,2,9,3,1,4,21,36,57,55,17,72,13,4,17,103,63,166
26,State,Uttar Pradesh,30,30,60,69,55,124,119,73,192,1927,360,2287,1383,257,1640,331,65,396,3859,840,4699
27,State,Uttarakhand,1,0,1,0,0,0,2,0,2,139,29,168,46,16,62,25,3,28,213,48,261
28,State,West Bengal,1,1,2,5,0,5,9,5,14,735,175,910,662,53,715,149,16,165,1561,250,1811
State,State,Total (States),324,320,644,268,152,420,390,202,592,11146,3857,15003,10433,2823,13256,2456,695,3151,25017,8049,33066
29,Union Territory,A & N Islands,0,0,0,0,2,2,0,0,0,2,0,2,2,0,2,2,0,2,6,2,8
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,7,3,10,3,2,5,1,1,2,11,6,17
31,Union Territory,D & N Haveli,0,0,0,0,1,1,0,0,0,0,0,0,3,2,5,2,1,3,5,4,9
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
33,Union Territory,Delhi,21,4,25,8,1,9,15,2,17,139,63,202,254,39,293,36,7,43,473,116,589
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
35,Union Territory,Puducherry,1,0,1,0,0,0,0,0,0,12,5,17,11,1,12,3,2,5,27,8,35
Union Territory,Union Territory,Total (UTs),22,4,26,8,4,12,15,2,17,160,71,231,275,45,320,44,11,55,524,137,661
Total (All India),Total (All India),Total (All India),346,324,670,276,156,432,405,204,609,11306,3928,15234,10708,2868,13576,2500,706,3206,25541,8186,33727
