Category (Col. 1),States/ UTs (Col. 2),Category of Complaints Received (Col. 3) - Oral,Category of Complaints Received (Col. 4) - Written,Category of Complaints Received (Col. 5) - Distress call over Phone 100,Category of Complaints Received (Col. 6) - Complaints Initiated Suomoto by Police,Category of Complaints Received (Col. 7) - Total Complaints = Col. (3 to 6),No. of Cases Registered Under (Col. 8) - IPC,No. of Cases Registered Under (Col. 9) - SLL,No. of Cases Registered Under (Col. 10) - Total = Col. (8+9)
State,Andhra Pradesh,186671,282928,15562,165405,650566,180441,470125,650566
State,Arunachal Pradesh,13,2413,2,66,2494,2362,132,2494
State,Assam,281,56127,167,711,57286,55313,1973,57286
State,Bihar,11745,120211,0,1569,133525,122931,10594,133525
State,Chhattisgarh,124138,61572,41456,31153,258319,51370,206949,258319
State,Goa,1686,805,0,3091,5582,3005,2577,5582
State,Gujarat,100965,149543,2865,77771,331144,115183,213339,328522
State,Haryana,0,103669,4614,3504,111787,56229,23143,79372
State,Himachal Pradesh,4182,10055,559,2622,17418,13315,4103,17418
State,Jammu & Kashmir,3352,16166,301,4189,24008,21975,2033,24008
State,Jharkhand,10781,28256,1223,811,41071,37436,3635,41071
State,Karnataka,25033,115632,127,15721,156513,134042,17225,151267
State,Kerala,96128,266742,11055,193081,567006,118369,166374,284743
State,Madhya Pradesh,239182,76661,235,19462,335540,207762,127778,335540
State,Maharashtra,242585,525157,7697,436688,1212127,199598,135418,335016
State,Manipur,0,2899,0,870,3769,2852,917,3769
State,Meghalaya,73,2324,28,190,2615,2448,167,2615
State,Mizoram,0,2152,0,637,2789,2047,742,2789
State,Nagaland,0,1151,0,247,1398,1059,339,1398
State,Odisha,471,61491,816,5693,68471,55740,12731,68471
State,Punjab,10794,216724,38697,1063,267278,35545,17911,53456
State,Rajasthan,9453,154880,101,45911,210345,166565,43780,210345
State,Sikkim,419,1164,199,38,1820,669,86,755
State,Tamil Nadu,47753,260640,3080,406484,717957,174691,543266,717957
State,Tripura,134,5393,0,167,5694,5486,208,5694
State,Uttar Pradesh,1126,174532,117,2340553,2516328,172884,2343444,2516328
State,Uttarakhand,599,12089,0,182852,195540,8802,186738,195540
State,West Bengal,115045,100100,21213,5235,241593,113036,7092,120128
State,Total (States),1232609,2811476,150114,3945784,8139983,2061155,4542819,6603974
Union Territory,Andaman & Nicobar Islands,832,97,47,5142,6118,941,5177,6118
Union Territory,Chandigarh,0,7070,42541,15,49626,3555,556,4111
Union Territory,Dadra Nagar Haveli,368,81,0,11,460,442,18,460
Union Territory,Daman & Diu,186,72,0,30,288,276,10,286
Union Territory,Delhi,16079,257313,1869989,2256,2145637,50251,4053,54304
Union Territory,Lakshadweep,0,152,0,10,162,134,7,141
Union Territory,Pondicherry,1649,3008,0,1166,5823,4591,1232,5823
Union Territory,Total (UTs),19114,267793,1912577,8630,2208114,60190,11053,71243
Total (All-India),Total (All-India),1251723,3079269,2062691,3954414,10348097,2121345,4553872,6675217
