Sr. No.,Category,States/ UTs,Number of Victims - Upto 10 Years - Male,Number of Victims - Upto 10 Years - Female,Number of Victims - Upto 10 Years - Total,Number of Victims - 10-15 Years - Male,Number of Victims - 10-15 Years - Female,Number of Victims - 10-15 Years - Total,Number of Victims - 15-18 Years - Male,Number of Victims - 15-18 Years - Female,Number of Victims - 15-18 Years - Total,Number of Victims - 18-30 Years - Male,Number of Victims - 18-30 Years - Female,Number of Victims - 18-30 Years - Total,Number of Victims - 30-50 Years - Male,Number of Victims - 30-50 Years - Female,Number of Victims - 30-50 Years - Total,Number of Victims - Above 50 Years - Male,Number of Victims - Above 50 Years - Female,Number of Victims - Above 50 Years - Total,Number of Victims - Total of All Age Groups - Male,Number of Victims - Total of All Age Groups - Female,Number of Victims - Total of All Age Groups - Total
1,State,Andhra Pradesh,1,0,1,0,0,0,2,0,2,54,10,64,57,7,64,15,11,26,129,28,157
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
3,State,Assam,0,0,0,0,0,0,0,0,0,33,0,33,13,0,13,0,0,0,46,0,46
4,State,Bihar,0,0,0,0,0,0,8,1,9,164,61,225,78,13,91,16,3,19,266,78,344
5,State,Chhattisgarh,3,0,3,0,0,0,1,2,3,6,1,7,11,2,13,4,0,4,25,5,30
6,State,Goa,1,0,1,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,3,1,4
7,State,Gujarat,0,0,0,1,1,2,0,1,1,32,4,36,29,4,33,7,0,7,69,10,79
8,State,Haryana,1,0,1,0,0,0,1,0,1,32,1,33,29,1,30,3,1,4,66,3,69
9,State,Himachal Pradesh,0,0,0,0,0,0,1,0,1,1,1,2,5,2,7,2,0,2,9,3,12
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,9,4,13,10,0,10,3,0,3,22,4,26
11,State,Jharkhand,0,0,0,0,0,0,4,0,4,43,1,44,43,4,47,2,1,3,92,6,98
12,State,Karnataka,0,3,3,0,0,0,1,0,1,72,24,96,47,2,49,6,0,6,126,29,155
13,State,Kerala,2,0,2,0,4,4,1,0,1,41,10,51,44,4,48,21,5,26,109,23,132
14,State,Madhya Pradesh,8,3,11,3,1,4,2,2,4,48,3,51,48,6,54,3,1,4,112,16,128
15,State,Maharashtra,6,5,11,5,0,5,5,2,7,92,21,113,52,14,66,18,3,21,178,45,223
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
17,State,Meghalaya,0,0,0,1,0,1,1,0,1,3,0,3,3,0,3,0,0,0,8,0,8
18,State,Mizoram,0,0,0,0,0,0,0,0,0,5,0,5,7,0,7,1,0,1,13,0,13
19,State,Nagaland,0,0,0,1,0,1,0,0,0,4,1,5,4,2,6,2,1,3,11,4,15
20,State,Odisha,0,0,0,0,0,0,0,0,0,9,12,21,10,6,16,0,0,0,19,18,37
21,State,Punjab,4,0,4,2,1,3,6,4,10,48,9,57,62,3,65,12,6,18,134,23,157
22,State,Rajasthan,0,1,1,0,1,1,3,0,3,33,4,37,51,2,53,9,0,9,96,8,104
23,State,Sikkim,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
24,State,Tamil Nadu,1,1,2,0,0,0,2,0,2,9,1,10,14,2,16,3,0,3,29,4,33
25,State,Tripura,1,2,3,0,0,0,1,0,1,2,0,2,1,1,2,0,0,0,5,3,8
26,State,Uttar Pradesh,4,5,9,16,10,26,32,8,40,587,112,699,421,79,500,126,11,137,1186,225,1411
27,State,Uttarakhand,0,0,0,0,0,0,0,0,0,27,7,34,20,4,24,2,0,2,49,11,60
28,State,West Bengal,0,1,1,2,9,11,3,22,25,315,88,403,116,18,134,42,14,56,478,152,630
Total (States),Total (States),Total (States),32,21,53,31,27,58,74,42,116,1672,377,2049,1179,176,1355,297,57,354,3285,700,3985
29,Union Territories,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,0,1,3,4
30,Union Territories,Chandigarh,0,0,0,0,0,0,0,0,0,1,0,1,8,0,8,0,0,0,9,0,9
31,Union Territories,Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
32,Union Territories,Daman & Diu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
33,Union Territories,Delhi,7,6,13,9,3,12,4,3,7,61,14,75,29,2,31,3,3,6,113,31,144
34,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territories,Puducherry,1,1,2,0,0,0,0,0,0,3,1,4,5,1,6,4,1,5,13,4,17
Total (UTs),Total (UTs),Total (UTs),8,7,15,9,3,12,4,3,7,66,17,83,43,4,47,8,4,12,138,38,176
Total (All-India),Total (All-India),Total (All-India),40,28,68,40,30,70,78,45,123,1738,394,2132,1222,180,1402,305,61,366,3423,738,4161
