Sl. No.(Col.1),Category (Col.2),States/Uts/City (Col.3),Number of Cases Reported (Col.4),Number of Victims - Upto 10 Years (Col.5),Number of Victims - 10-14 Years (Col.6),Number of Victims - 14-18 Years (Col.7),Number of Victims - 18-30 Years (Col.8),Number of Victims - 30-50 Years (Col.9),Number of Victims - Above 50 Years (Col.10),Number of Victims - Total Victims (Col.11),Number of Cases Reported (Col.12),Number of Victims - Upto 10 Years (Col.13),Number of Victims - 10-14 Years (Col.14),Number of Victims - 14-18 Years (Col.15),Number of Victims - 18-30 Years (Col.16),Number of Victims - 30-50 Years (Col.17),Number of Victims - Above 50 Years (Col.18),Number of Victims - Total Victims (Col.19),Number of Cases Reported (Col.20),Number of Victims - Upto 10 Years (Col.21),Number of Victims - 10-14 Years (Col.22),Number of Victims - 14-18 Years (Col.23),Number of Victims - 18-30 Years (Col.24),Number of Victims - 30-50 Years (Col.25),Number of Victims - Above 50 Years (Col.26),Number of Victims - Total Victims (Col.27)
1,State,Andhra Pradesh,0,0,0,0,0,0,0,0,1362,30,133,283,749,152,15,1362,1362,30,133,283,749,152,15,1362
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,47,2,10,0,34,1,0,47,47,2,10,0,34,1,0,47
3,State,Assam,13,0,0,0,10,3,0,13,1708,1,9,29,1106,553,10,1708,1721,1,9,29,1116,556,10,1721
4,State,Bihar,2,1,1,0,0,0,0,2,793,7,16,89,616,65,0,793,795,8,17,89,616,65,0,795
5,State,Chhattisgarh,21,0,2,3,13,3,0,21,991,24,85,268,411,187,16,991,1012,24,87,271,424,190,16,1012
6,State,Goa,2,0,0,2,0,0,0,2,34,4,5,12,11,0,2,34,36,4,5,14,11,0,2,36
7,State,Gujarat,4,1,0,2,1,0,0,4,404,21,28,51,260,42,2,404,408,22,28,53,261,42,2,408
8,State,Haryana,15,0,1,1,11,2,0,15,705,4,22,79,470,125,5,705,720,4,23,80,481,127,5,720
9,State,Himachal Pradesh,7,0,3,2,1,0,1,7,153,8,13,46,66,20,0,153,160,8,16,48,67,20,1,160
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,245,0,1,7,187,50,0,245,245,0,1,7,187,50,0,245
11,State,Jharkhand,11,0,0,0,10,1,0,11,762,0,0,0,594,168,0,762,773,0,0,0,604,169,0,773
12,State,Karnataka,2,0,0,0,2,0,0,2,584,10,47,69,367,88,3,584,586,10,47,69,369,88,3,586
13,State,Kerala,14,5,5,2,2,0,0,14,620,24,43,131,326,86,12,622,634,29,48,133,328,86,12,636
14,State,Madhya Pradesh,21,2,1,10,4,4,0,21,3114,51,303,816,1360,573,12,3115,3135,53,304,826,1364,577,12,3136
15,State,Maharashtra,44,4,8,13,18,1,0,44,1555,104,126,502,657,167,11,1567,1599,108,134,515,675,168,11,1611
16,State,Manipur,0,0,0,0,0,0,0,0,34,1,2,8,20,3,0,34,34,1,2,8,20,3,0,34
17,State,Meghalaya,8,2,4,1,1,0,0,8,141,31,30,25,40,17,0,143,149,33,34,26,41,17,0,151
18,State,Mizoram,3,2,0,1,0,0,0,3,89,8,17,14,29,17,4,89,92,10,17,15,29,17,4,92
19,State,Nagaland,1,0,0,1,0,0,0,1,15,1,1,1,6,6,0,15,16,1,1,2,6,6,0,16
20,State,Odisha,37,2,12,21,2,0,0,37,988,11,5,23,785,159,5,988,1025,13,17,44,787,159,5,1025
21,State,Punjab,17,1,4,7,5,0,0,17,529,22,35,76,341,55,1,530,546,23,39,83,346,55,1,547
22,State,Rajasthan,24,2,2,6,10,4,0,24,1547,35,70,271,795,342,36,1549,1571,37,72,277,805,346,36,1573
23,State,Sikkim,2,1,1,0,0,0,0,2,16,5,6,2,1,2,0,16,18,6,7,2,1,2,0,18
24,State,Tamil Nadu,0,0,0,0,0,0,0,0,686,21,50,139,411,66,0,687,686,21,50,139,411,66,0,687
25,State,Tripura,0,0,0,0,0,0,0,0,238,19,27,61,93,38,0,238,238,19,27,61,93,38,0,238
26,State,Uttar Pradesh,4,0,1,2,1,0,0,4,1559,43,161,244,861,250,0,1559,1563,43,162,246,862,250,0,1563
27,State,Uttarakhand,11,1,2,2,5,1,0,11,110,1,1,3,87,18,0,110,121,2,3,5,92,19,0,121
28,State,West Bengal,4,0,1,0,2,1,0,4,2307,0,21,51,1777,458,0,2307,2311,0,22,51,1779,459,0,2311
Total (States),Total (States),Total (States),267,24,48,76,98,20,1,267,21336,488,1267,3300,12460,3708,134,21357,21603,512,1315,3376,12558,3728,135,21624
29,Union Territories,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,24,2,1,12,8,1,0,24,24,2,1,12,8,1,0,24
30,Union Territories,Chandigarh,0,0,0,0,0,0,0,0,31,4,8,4,15,0,0,31,31,4,8,4,15,0,0,31
31,Union Territories,Dadra Nagar Haveli,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,3,3,1,1,1,0,0,0,3
32,Union Territories,Daman & Diu,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
33,Union Territories,Delhi,21,6,11,3,1,0,0,21,486,45,68,171,167,34,1,486,507,51,79,174,168,34,1,507
34,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territories,Puducherry,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,3,0,0,0,3
Total (UTs),Total (UTs),Total (UTs),21,6,11,3,1,0,0,21,548,53,78,191,190,35,1,548,569,59,89,194,191,35,1,569
Total (All-India),Total (All-India),Total (All-India),288,30,59,79,99,20,1,288,21884,541,1345,3491,12650,3743,135,21905,22172,571,1404,3570,12749,3763,136,22193
36,City,Agra,1,0,0,0,1,0,0,1,12,1,3,3,5,0,0,12,13,1,3,3,6,0,0,13
37,City,Ahmedabad,0,0,0,0,0,0,0,0,49,0,0,0,45,4,0,49,49,0,0,0,45,4,0,49
38,City,Allahabad,0,0,0,0,0,0,0,0,7,0,1,2,3,1,0,7,7,0,1,2,3,1,0,7
39,City,Amritsar,0,0,0,0,0,0,0,0,24,1,6,5,12,0,0,24,24,1,6,5,12,0,0,24
40,City,Asansol,0,0,0,0,0,0,0,0,18,0,0,0,11,7,0,18,18,0,0,0,11,7,0,18
41,City,Bengaluru,0,0,0,0,0,0,0,0,65,0,0,0,30,35,0,65,65,0,0,0,30,35,0,65
42,City,Bhopal,0,0,0,0,0,0,0,0,73,4,10,49,7,3,0,73,73,4,10,49,7,3,0,73
43,City,Chennai,0,0,0,0,0,0,0,0,47,0,9,13,23,2,0,47,47,0,9,13,23,2,0,47
44,City,Coimbatore,0,0,0,0,0,0,0,0,15,1,2,2,10,0,0,15,15,1,2,2,10,0,0,15
45,City,Delhi (city),14,5,6,3,0,0,0,14,400,40,53,142,140,24,1,400,414,45,59,145,140,24,1,414
46,City,Dhanbad,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,5
47,City,Faridabad,0,0,0,0,0,0,0,0,51,0,0,0,49,2,0,51,51,0,0,0,49,2,0,51
48,City,Hyderabad,0,0,0,0,0,0,0,0,45,2,5,8,28,2,0,45,45,2,5,8,28,2,0,45
49,City,Indore,0,0,0,0,0,0,0,0,69,0,0,3,65,1,0,69,69,0,0,3,65,1,0,69
50,City,Jabalpur,0,0,0,0,0,0,0,0,81,0,0,19,38,24,0,81,81,0,0,19,38,24,0,81
51,City,Jaipur,2,0,0,1,1,0,0,2,69,3,3,16,33,14,0,69,71,3,3,17,34,14,0,71
52,City,Jamshedpur,0,0,0,0,0,0,0,0,16,0,0,0,12,4,0,16,16,0,0,0,12,4,0,16
53,City,Kanpur,0,0,0,0,0,0,0,0,42,2,6,7,22,5,0,42,42,2,6,7,22,5,0,42
54,City,Kochi,2,1,0,0,1,0,0,2,18,1,2,2,11,2,0,18,20,2,2,2,12,2,0,20
55,City,Kolkata,0,0,0,0,0,0,0,0,32,0,2,9,16,5,0,32,32,0,2,9,16,5,0,32
56,City,Lucknow,0,0,0,0,0,0,0,0,52,1,6,2,39,4,0,52,52,1,6,2,39,4,0,52
57,City,Ludhiana,0,0,0,0,0,0,0,0,52,5,2,18,20,7,0,52,52,5,2,18,20,7,0,52
58,City,Madurai,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,3,3,0,0,0,2,1,0,3
59,City,Meerut,0,0,0,0,0,0,0,0,19,1,3,6,9,0,0,19,19,1,3,6,9,0,0,19
60,City,Mumbai,4,0,2,1,1,0,0,4,190,21,11,112,43,10,0,197,194,21,13,113,44,10,0,201
61,City,Nagpur,5,0,0,4,1,0,0,5,53,2,6,18,17,9,1,53,58,2,6,22,18,9,1,58
62,City,Nasik,0,0,0,0,0,0,0,0,30,1,2,10,15,2,1,31,30,1,2,10,15,2,1,31
63,City,Patna,0,0,0,0,0,0,0,0,25,0,0,6,17,2,0,25,25,0,0,6,17,2,0,25
64,City,Pune,0,0,0,0,0,0,0,0,91,8,6,38,32,7,0,91,91,8,6,38,32,7,0,91
65,City,Rajkot,0,0,0,0,0,0,0,0,12,0,1,1,6,4,0,12,12,0,1,1,6,4,0,12
66,City,Surat,0,0,0,0,0,0,0,0,23,7,5,3,6,0,2,23,23,7,5,3,6,0,2,23
67,City,Vadodara,1,0,0,1,0,0,0,1,6,1,1,0,3,1,0,6,7,1,1,1,3,1,0,7
68,City,Varanasi,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,2,0,1,1,0,0,0,2
69,City,Vijayawada,0,0,0,0,0,0,0,0,25,3,6,7,9,0,0,25,25,3,6,7,9,0,0,25
70,City,Vishakhapatnam,0,0,0,0,0,0,0,0,53,1,2,3,42,5,0,53,53,1,2,3,42,5,0,53
Total (Cities),Total (Cities),Total (Cities),29,6,8,10,5,0,0,29,1774,106,154,505,825,187,5,1782,1803,112,162,515,830,187,5,1811
