Crime Category,Crime Head,Below 18 Years - Male,Below 18 Years - Female,Below 18 Years - Total,18 Years & Above – Below 30 Years - Male,18 Years & Above – Below 30 Years - Female,18 Years & Above – Below 30 Years - Total,30 Years & Above – Below 45 Years - Male,30 Years & Above – Below 45 Years - Female,30 Years & Above – Below 45 Years - Total,45 Years & Above – Below 60 Years - Male,45 Years & Above – Below 60 Years - Female,45 Years & Above – Below 60 Years - Total,60 Years & Above - Male,60 Years & Above - Female,60 Years & Above - Total,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Grand Total of Male + Female Arrested (including Juveniles)
IPC,1 Murder,1050,42,1092,25013,1367,26380,22975,1823,24798,8410,665,9075,737,77,814,58185,3974,62159
IPC,2 Attempt to Commit Murder,1339,21,1360,38823,1288,40111,35242,1853,37095,13708,661,14369,932,70,1002,90044,3893,93937
IPC,3 Culpable Homicide not Amounting to Murder,41,0,41,2615,56,2671,2669,101,2770,906,29,935,67,2,69,6298,188,6486
IPC,4 Attempt to Commit Culpable Homicide,89,0,89,4145,88,4233,3934,128,4062,1384,63,1447,62,2,64,9614,281,9895
IPC,5 Rape,1837,4,1841,23998,373,24371,12189,526,12715,2668,196,2864,223,22,245,40915,1121,42036
IPC,5.1 Custodial Rape,0,0,0,89,0,89,43,0,43,2,0,2,0,0,0,134,0,134
IPC,5.1.1 Gang Rape,0,0,0,6,0,6,4,0,4,0,0,0,0,0,0,10,0,10
IPC,5.1.2 Other Rape,0,0,0,83,0,83,39,0,39,2,0,2,0,0,0,124,0,124
IPC,5.2 Rape other than Custodial,1837,4,1841,23909,373,24282,12146,526,12672,2666,196,2862,223,22,245,40781,1121,41902
IPC,5.2.1 Gang Rape,133,0,133,3054,27,3081,1314,29,1343,139,4,143,7,0,7,4647,60,4707
IPC,5.2.2 Other Rape,1704,4,1708,20855,346,21201,10832,497,11329,2527,192,2719,216,22,238,36134,1061,37195
IPC,6 Attempt to Commit Rape,78,0,78,2390,3,2393,1526,1,1527,328,0,328,12,0,12,4334,4,4338
IPC,7 Kidnapping & Abduction,1491,17,1508,41653,1014,42667,22760,1141,23901,5007,303,5310,156,15,171,71067,2490,73557
IPC,7.1 Kidnapping & Abduction,458,8,466,9339,288,9627,5313,318,5631,1070,85,1155,36,7,43,16216,706,16922
IPC,7.2 Kidnaping & Abduction in Order to Murder,7,0,7,1018,13,1031,736,15,751,116,5,121,0,0,0,1877,33,1910
IPC,7.3 Kidnapping for Ransom,22,1,23,837,11,848,663,11,674,117,2,119,3,0,3,1642,25,1667
IPC,7.4 Kidnapping & Abduction of Women to Compel her for Marriage,727,5,732,22956,507,23463,10953,576,11529,2522,141,2663,93,7,100,37251,1236,38487
IPC,7.5 Other Kidnapping,277,3,280,7503,195,7698,5095,221,5316,1182,70,1252,24,1,25,14081,490,14571
IPC,8 Dacoity,300,1,301,9230,72,9302,5591,69,5660,1134,26,1160,59,5,64,16314,173,16487
IPC,8.1 Dacoity with Murder,1,0,1,188,1,189,107,0,107,10,0,10,0,0,0,306,1,307
IPC,8.2 Other Dacoity,299,1,300,9042,71,9113,5484,69,5553,1124,26,1150,59,5,64,16008,172,16180
IPC,9 Making Preparation and Assembly for Committing Dacoity,60,0,60,9810,11,9821,4400,11,4411,841,1,842,51,0,51,15162,23,15185
IPC,10 Robbery,1838,0,1838,28395,194,28589,13653,233,13886,2431,53,2484,97,5,102,46414,485,46899
IPC,11 Criminal Trespass/Burglary,3597,35,3632,42668,524,43192,25351,562,25913,6136,102,6238,394,10,404,78146,1233,79379
IPC,11.1 Criminal Trespass/Burglary,2671,30,2701,32797,340,33137,18460,325,18785,4509,68,4577,223,4,227,58660,767,59427
IPC,11.2 House Trespass & House Breaking,926,5,931,9871,184,10055,6891,237,7128,1627,34,1661,171,6,177,19486,466,19952
IPC,12 Theft,7831,105,7936,119726,1973,121699,70716,1995,72711,18751,454,19205,970,35,1005,217994,4562,222556
IPC,12.1 Auto Theft,2679,0,2679,41900,27,41927,22138,28,22166,4812,3,4815,143,0,143,71672,58,71730
IPC,12.2 Other Thefts,5152,105,5257,77826,1946,79772,48578,1967,50545,13939,451,14390,827,35,862,146322,4504,150826
IPC,13 Unlawful Assembly,193,7,200,24129,1315,25444,29071,1654,30725,11766,656,12422,600,84,684,65759,3716,69475
IPC,14 Riots,1654,62,1716,136628,5392,142020,102727,6400,109127,35522,2430,37952,3160,314,3474,279691,14598,294289
IPC,14.1 Communal,68,2,70,2897,35,2932,1762,44,1806,502,17,519,41,2,43,5270,100,5370
IPC,14.2 Industrial,2,0,2,527,39,566,433,44,477,259,6,265,9,3,12,1230,92,1322
IPC,14.3 Political,21,0,21,5280,105,5385,4646,106,4752,1321,66,1387,87,3,90,11355,280,11635
IPC,14.4 Caste Conflict,32,0,32,5963,207,6170,4460,186,4646,1585,51,1636,78,6,84,12118,450,12568
IPC,14.4.1 SC/STs Vs. Non-SCs/STs,17,0,17,3680,85,3765,2466,41,2507,695,14,709,48,1,49,6906,141,7047
IPC,14.4.2 Other Caste Riots,15,0,15,2283,122,2405,1994,145,2139,890,37,927,30,5,35,5212,309,5521
IPC,14.5 Agrarian,15,1,16,4497,127,4624,3874,254,4128,1434,92,1526,48,11,59,9868,485,10353
IPC,14.6 Students,70,0,70,3430,15,3445,83,0,83,2,0,2,0,0,0,3585,15,3600
IPC,14.7 Sectarian,4,0,4,3831,117,3948,2066,87,2153,478,44,522,15,0,15,6394,248,6642
IPC,14.8 Other Riots,1442,59,1501,110203,4747,114950,85403,5679,91082,29941,2154,32095,2882,289,3171,229871,12928,242799
IPC,15 Criminal Breach of Trust,35,0,35,8829,192,9021,10650,326,10976,4071,100,4171,303,18,321,23888,636,24524
IPC,16 Cheating,106,3,109,35762,1143,36905,47565,2541,50106,22664,1084,23748,1910,138,2048,108007,4909,112916
IPC,17 Forgery,12,0,12,4795,145,4940,6239,212,6451,2382,96,2478,234,23,257,13662,476,14138
IPC,18 Counterfeiting,12,0,12,883,24,907,965,31,996,161,6,167,7,0,7,2028,61,2089
IPC,18.1 Offences related to Counterfeit Coin,0,0,0,19,0,19,7,0,7,0,0,0,0,0,0,26,0,26
IPC,18.2 Counterfeiting Government Stamp,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
IPC,18.3 Counterfeit Currency & Bank Notes,12,0,12,864,24,888,957,31,988,161,6,167,7,0,7,2001,61,2062
IPC,18.3.1 Counterfeiting Currency Notes or Bank Notes,5,0,5,307,4,311,360,12,372,58,4,62,3,0,3,733,20,753
IPC,18.3.2 Using forged or Counterfeit Currency/Bank Notes,6,0,6,446,9,455,435,14,449,76,1,77,1,0,1,964,24,988
IPC,18.3.3 Possession of Forged or Counterfeiting C/ Bank Notes,1,0,1,101,11,112,147,5,152,22,1,23,3,0,3,274,17,291
IPC,18.3.4 Make/Possess materials for Forging or Counterfeiting Currency/Bank Notes,0,0,0,9,0,9,14,0,14,4,0,4,0,0,0,27,0,27
IPC,18.3.5 Make/Use Documents Resembling Currency Notes/Bank Notes,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,3,0,3
IPC,19 Arson,66,1,67,4628,62,4690,4457,133,4590,1183,40,1223,88,3,91,10422,239,10661
IPC,20 Grievous Hurt,1225,44,1269,65028,2561,67589,52997,3034,56031,18914,1045,19959,1277,111,1388,139441,6795,146236
IPC,20.1 Grievous Hurt,1224,44,1268,64798,2550,67348,52895,3023,55918,18902,1043,19945,1277,111,1388,139096,6771,145867
IPC,20.2 Acid attack,1,0,1,185,11,196,86,10,96,10,2,12,0,0,0,282,23,305
IPC,20.3 Attempt to Acid Attack,0,0,0,45,0,45,16,1,17,2,0,2,0,0,0,63,1,64
IPC,21 Dowry Deaths,90,36,126,6648,1232,7880,6215,1625,7840,2496,1163,3659,344,124,468,15793,4180,19973
IPC,22 Assault on Women with Intent to Outrage her Modesty,1590,8,1598,53474,1323,54797,34003,1541,35544,8461,453,8914,674,44,718,98202,3369,101571
IPC,22.1 Sexual Harassment,531,0,531,17979,157,18136,9751,229,9980,2190,70,2260,181,10,191,30632,466,31098
IPC,22.2 Assault on Women with Intent to Disrobe,91,3,94,5666,99,5765,3387,180,3567,630,55,685,48,4,52,9822,341,10163
IPC,22.3 Voyeurism,22,0,22,598,5,603,314,4,318,27,3,30,6,0,6,967,12,979
IPC,22.4 Stalking,164,0,164,3896,24,3920,2051,42,2093,469,12,481,36,0,36,6616,78,6694
IPC,22.5 Others,782,5,787,25335,1038,26373,18500,1086,19586,5145,313,5458,403,30,433,50165,2472,52637
IPC,23 Insult to the Modesty of Women,136,0,136,5029,88,5117,3325,102,3427,1056,36,1092,93,5,98,9639,231,9870
IPC,23.1 At Office premises,0,0,0,39,0,39,42,0,42,11,0,11,0,0,0,92,0,92
IPC,23.2 Places Related to Work other than Office,7,0,7,326,29,355,366,26,392,72,9,81,12,0,12,783,64,847
IPC,23.3 In Public Transport system,3,0,3,154,7,161,141,5,146,74,5,79,3,0,3,375,17,392
IPC,23.4 in Other Places,126,0,126,4510,52,4562,2776,71,2847,899,22,921,78,5,83,8389,150,8539
IPC,24 Cruelty by Husband or his Relatives,103,10,113,57288,9900,67188,63143,13275,76418,26946,10794,37740,3854,1754,5608,151334,35733,187067
IPC,25 Importation of Girls from Foreign Country,0,0,0,0,0,0,7,1,8,1,1,2,0,0,0,8,2,10
IPC,26 Causing Death by Negligence,331,5,336,52595,114,52709,46474,114,46588,16230,20,16250,870,6,876,116500,259,116759
IPC,26.1 Deaths due to Negligent Driving/Act,310,4,314,50679,103,50782,43901,87,43988,15225,15,15240,811,1,812,110926,210,111136
IPC,26.2 Deaths due to Other Causes,21,1,22,1916,11,1927,2573,27,2600,1005,5,1010,59,5,64,5574,49,5623
IPC,27 Offences against State,0,0,0,109,0,109,111,1,112,15,0,15,2,0,2,237,1,238
IPC,27.1 Sedition,0,0,0,29,0,29,32,0,32,11,0,11,1,0,1,73,0,73
IPC,27.2 Other Offences Against State,0,0,0,80,0,80,79,1,80,4,0,4,1,0,1,164,1,165
IPC,28 Offences Promoting Enmity between Different Groups,13,0,13,335,2,337,399,4,403,164,18,182,6,0,6,917,24,941
IPC,28.1 Promoting Enmity on Ground of religion Race and Place of Birth,13,0,13,309,2,311,375,4,379,161,18,179,6,0,6,864,24,888
IPC,28.2 Imputation & Assertions Prejudicial to National integration,0,0,0,26,0,26,24,0,24,3,0,3,0,0,0,53,0,53
IPC,29 Extortion,101,0,101,6317,129,6446,5494,120,5614,1189,37,1226,83,2,85,13184,288,13472
IPC,30 Disclosure of Identity of Victims,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPC,31 Causing Injuries under Rash Driving Act,1579,26,1605,204745,1291,206036,155765,853,156618,56658,124,56782,5387,7,5394,424134,2301,426435
IPC,32 Human Trafficking (Section 370 & 370A),3,0,3,628,73,701,724,120,844,149,27,176,19,3,22,1523,223,1746
IPC,33 Unnatural Offences,207,0,207,739,4,743,430,10,440,89,2,91,10,0,10,1475,16,1491
IPC,34 Other IPC crimes,11214,426,11640,592809,30894,623703,493510,34631,528141,207166,14814,221980,22514,1803,24317,1327213,82568,1409781
Total Cognizable IPC Crimes,Total Cognizable IPC Crimes,38221,853,39074,1609864,62847,1672711,1285277,75171,1360448,478987,35499,514486,45195,4682,49877,3457544,179052,3636596
SLL,"1 Arms Act, 1959",197,0,197,33384,12,33396,19529,19,19548,4731,6,4737,102,0,102,57943,37,57980
SLL,"2 Narcotic Drugs & Psychotropic Substances Act, 1985",148,3,151,31585,374,31959,20752,838,21590,5154,315,5469,426,30,456,58065,1560,59625
SLL,"3 Gambling Act, 1867",262,0,262,153954,214,154168,156596,548,157144,62336,191,62527,6355,30,6385,379503,983,380486
SLL,"4 Excise Act, 1944",163,0,163,91729,1485,93214,85702,3013,88715,32873,1201,34074,2657,122,2779,213124,5821,218945
SLL,5 Prohibition Act,110,21,131,142791,28019,170810,179866,50626,230492,82967,33165,116132,7509,2561,10070,413243,114392,527635
SLL,6 Explosives and Explosive Substances Act,21,0,21,2051,3,2054,2349,5,2354,629,4,633,69,0,69,5119,12,5131
SLL,"7 Immoral Traffic (Prevention) Act, 1956",4,5,9,2507,1138,3645,2062,1024,3086,386,175,561,23,8,31,4982,2350,7332
SLL,7.1 Under Section 5,3,3,6,1170,434,1604,995,430,1425,192,69,261,11,5,16,2371,941,3312
SLL,7.2 Under Section 6,1,0,1,101,54,155,70,29,99,15,3,18,2,0,2,189,86,275
SLL,7.3 Under Section 7,0,1,1,154,53,207,149,45,194,25,13,38,4,1,5,332,113,445
SLL,7.4 Under Section 8,0,0,0,106,160,266,93,147,240,28,40,68,0,0,0,227,347,574
SLL,7.5 Other Sections under ITP Act,0,1,1,976,437,1413,755,373,1128,126,50,176,6,2,8,1863,863,2726
SLL,"8 Indian Railways Act, 1989",5,0,5,266,20,286,430,58,488,225,9,234,0,0,0,926,87,1013
SLL,"9 Registration of Foreigners Act, 1939",0,0,0,20,4,24,65,2,67,11,1,12,1,1,2,97,8,105
SLL,"10 Protection of Civil Rights Act, 1955",0,0,0,57,3,60,51,4,55,14,4,18,0,0,0,122,11,133
SLL,10.1 PCR Act for Crimes Committed against SCs,0,0,0,56,2,58,49,3,52,14,4,18,0,0,0,119,9,128
SLL,10.2 PCR Act for Crimes Committed against STs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL,10.3 PCR Act for Crimes Committed against Others,0,0,0,1,1,2,2,1,3,0,0,0,0,0,0,3,2,5
SLL,"11 Passport Act, 1967",2,5,7,319,41,360,411,41,452,97,8,105,1,1,2,830,96,926
SLL,"12 Essential Commodities Act, 1955",6,0,6,1936,5,1941,3301,34,3335,1045,11,1056,51,2,53,6339,52,6391
SLL,"13 Antiquities & Art Treasures Act, 1972",0,0,0,22,0,22,46,1,47,9,0,9,0,0,0,77,1,78
SLL,"14 Dowry Prohibition Act, 1961",5,0,5,6972,1316,8288,7470,1946,9416,2833,1185,4018,220,121,341,17500,4568,22068
SLL,"15 Indecent Representation of Women (Prohibition) Act, 1986",0,0,0,57,0,57,17,0,17,2,0,2,0,0,0,76,0,76
SLL,"16 Copyright Act, 1957",15,0,15,2769,1,2770,2944,9,2953,736,0,736,28,0,28,6492,10,6502
SLL,17 Protection of Children from Sexual Offences Act,492,2,494,11768,71,11839,5044,113,5157,1067,19,1086,72,3,75,18443,208,18651
SLL,"18 SC/ST (Prevention of Atrocities) Act, 1989)",39,2,41,5071,127,5198,5274,296,5570,2137,74,2211,155,10,165,12676,509,13185
SLL,18.1 POA Act for Crimes Committed against SCs,38,2,40,4665,112,4777,4703,259,4962,1951,71,2022,139,10,149,11496,454,11950
SLL,18.2 POA Act for Crimes Committed against STs,1,0,1,406,15,421,571,37,608,186,3,189,16,0,16,1180,55,1235
SLL,"19 Forest Act, 1927",1,0,1,2065,3,2068,3133,4,3137,1066,2,1068,70,0,70,6335,9,6344
SLL,"20 Prohibition of Child Marriage Act, 2006",1,0,1,201,23,224,246,87,333,90,43,133,12,1,13,550,154,704
SLL,"21 Protection of Women from Domestic Violence Act, 2005",0,0,0,166,3,169,286,2,288,78,1,79,2,2,4,532,8,540
SLL,"22 Information Technology Act, 2000",23,0,23,2956,81,3037,1733,50,1783,238,3,241,18,0,18,4968,134,5102
SLL,"23 Official Secrets Act, 1923",0,0,0,2,0,2,8,0,8,2,0,2,0,0,0,12,0,12
SLL,"24 Electricity Act, 2003",20,0,20,17052,64,17116,34806,120,34926,23524,54,23578,968,13,981,76370,251,76621
SLL,"25 Wildlife Protection Act, 1972",4,0,4,510,0,510,611,10,621,119,3,122,5,1,6,1249,14,1263
SLL,"26 Bonded Labour System (Abolition) Act, 1976",0,0,0,14,0,14,71,2,73,21,1,22,0,0,0,106,3,109
SLL,26.1 Against SCs,0,0,0,5,0,5,12,0,12,2,0,2,0,0,0,19,0,19
SLL,26.2 Against STs,0,0,0,1,0,1,2,0,2,1,0,1,0,0,0,4,0,4
SLL,26.3 Against others,0,0,0,8,0,8,57,2,59,18,1,19,0,0,0,83,3,86
SLL,"27 Environmental (Protection) Act, 1986",0,0,0,204,0,204,99,0,99,26,0,26,0,0,0,329,0,329
SLL,"28 Air (Prevention & Control of Pollution) Act, 1981",0,0,0,45,0,45,39,0,39,1,0,1,0,0,0,85,0,85
SLL,"29 Water (Prevention & Control of Pollution) Act, 1974",0,0,0,3,0,3,10,0,10,0,0,0,0,0,0,13,0,13
SLL,"30 National Security Act, 1980",0,0,0,200,0,200,193,0,193,15,0,15,0,0,0,408,0,408
SLL,"31 Unlawful Activities (Prevention) Act, 1967",5,0,5,451,19,470,528,9,537,103,4,107,8,1,9,1095,33,1128
SLL,"32 Young Persons (Harmful Publications) Act, 1956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL,"33 Railway Property (Unlawful Possession) Act, 1966",0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,4,0,4
SLL,"34 Prevention of Damage to Public Property Act, 1984",39,0,39,2733,40,2773,3363,62,3425,1207,22,1229,49,0,49,7391,124,7515
SLL,"35 Transplantation of Human Organs Act, 1994",0,0,0,0,0,0,10,1,11,3,0,3,0,0,0,13,1,14
SLL,"36 Trade Marks Act, 1999",0,0,0,77,0,77,98,1,99,34,0,34,2,0,2,211,1,212
SLL,"37 Prevention of Insults to National Honour Act, 1971",0,0,0,13,2,15,38,2,40,9,1,10,0,0,0,60,5,65
SLL,"38 State Emblem (Prohibition of Improper Use) Act, 2005",0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
SLL,"39 Lotteries (Regulation) Act, 1998",0,0,0,1187,2,1189,1910,4,1914,753,0,753,95,0,95,3945,6,3951
SLL,"40 Citizenship Act, 1955",0,0,0,9,1,10,13,0,13,2,0,2,0,0,0,24,1,25
SLL,"41 Foreigners Act, 1946",29,0,29,763,264,1027,560,208,768,250,130,380,24,6,30,1626,608,2234
SLL,"42 Place of Worship (Special Provisions) Act, 1991",0,0,0,20,0,20,14,0,14,4,0,4,0,0,0,38,0,38
SLL,"43 Religious Institution (Prevention of Misuse) Act, 1988",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SLL,"44 Representation of People Act, 1951",0,0,0,562,10,572,1141,3,1144,399,0,399,13,0,13,2115,13,2128
SLL,"45 Emigration Act, 1983",0,0,0,20,0,20,27,0,27,4,0,4,0,0,0,51,0,51
SLL,"46 Juvenile Justice (Care and Protection of Children) Act, 2000",111,17,128,453,43,496,697,109,806,230,21,251,13,1,14,1504,191,1695
SLL,"47 Infant Substitutes Regulation Act, 2003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL,"48 Anti-Hijacking Act, 1982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL,"49 Atomic Energy Act, 1962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL,"50 Weapons of Mass Destruction (Proh. of Unlawful Activities) Act, 2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL,"51 Suppression of Unlawful Acts against Safety of Civil Aviation Act, 1982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL,"52 Safety of Maritime Navigation Act, 2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL,"53 Employment of Manual Scavengers and Construction of Dry Latrines (P) Act, 1993",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
SLL,"54 Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",0,0,0,21,4,25,31,7,38,9,0,9,0,0,0,61,11,72
SLL,"55 The Maritime Zones of India (Reg of Fishing by Foreign Vessels) Act, 1981",0,0,0,9,0,9,15,0,15,4,0,4,0,0,0,28,0,28
SLL,56 Other SLL crimes,545,9,554,1846680,4684,1851364,1202572,5349,1207921,341680,1713,343393,16941,100,17041,3408418,11855,3420273
Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,2247,64,2311,2363678,38076,2401754,1744165,64607,1808772,567123,38366,605489,35890,3014,38904,4713103,144127,4857230
