S. No.,Category,State/UT,Education - Illiterate,Education - Primary,Education - Above Primary But Below Matric/Hr. Sec.,Education - Matric / Hr. Sec. & Above,Education - Total,Family Background - Living With Parents,Family Background - Living With Guardians,Family Background - Homeless,Family Background - Total,"Economic Status - Annual Income (Upto Rs. 25,000)","Economic Status - Annual Income (Rs. 25,001 To Rs. 50,000)","Economic Status - Middle Income (Rs. 50,001 To Rs. 1,00,000)","Economic Status - Middle Income (Rs. 1,00,001 To Rs. 2,00,000)","Economic Status - Upper Middle Income (Rs. 2,00,001 To Rs. 3,00,000)","Economic Status - Upper Income (Above Rs. 3,00,000)",Economic Status - Total,Recidivism - Juveniles Apprehended for First Time,Recidivism - Apprehended Juveniles Convicted in Past,Recidivism - Total Juveniles Apprehended
1,State,Andhra Pradesh,286,520,497,68,1371,1018,186,167,1371,715,391,202,48,9,6,1371,1309,62,1371
2,State,Arunachal Pradesh,5,42,109,0,156,149,7,0,156,74,42,25,15,0,0,156,156,0,156
3,State,Assam,110,364,260,0,734,585,143,6,734,557,152,25,0,0,0,734,695,39,734
4,State,Bihar,161,557,734,222,1674,1077,526,71,1674,226,340,635,302,88,83,1674,1495,179,1674
5,State,Chhattisgarh,185,706,1222,177,2290,2040,184,66,2290,840,984,325,106,28,7,2290,2113,177,2290
6,State,Goa,0,8,24,3,35,30,2,3,35,16,7,5,3,4,0,35,34,1,35
7,State,Gujarat,188,865,816,88,1957,1856,91,10,1957,1308,378,222,37,12,0,1957,1922,35,1957
8,State,Haryana,169,387,619,158,1333,1172,120,41,1333,398,330,381,97,25,102,1333,1244,89,1333
9,State,Himachal Pradesh,13,43,157,28,241,237,4,0,241,138,52,34,17,0,0,241,240,1,241
10,State,Jammu & Kashmir,20,58,165,6,249,243,0,6,249,88,70,48,38,5,0,249,239,10,249
11,State,Jharkhand,32,26,52,14,124,87,25,12,124,50,37,25,11,1,0,124,106,18,124
12,State,Karnataka,28,142,411,111,692,650,36,6,692,268,194,154,58,17,1,692,672,20,692
13,State,Kerala,1,134,1216,442,1793,1707,77,9,1793,510,387,543,285,46,22,1793,1711,82,1793
14,State,Madhya Pradesh,902,3088,3261,619,7870,6849,837,184,7870,3316,2452,1224,533,295,50,7870,6985,885,7870
15,State,Maharashtra,436,2559,3918,457,7370,6218,583,569,7370,3097,1987,1646,394,174,72,7370,7088,282,7370
16,State,Manipur,0,7,18,0,25,25,0,0,25,15,2,3,2,0,3,25,25,0,25
17,State,Meghalaya,46,61,30,4,141,84,27,30,141,51,64,16,5,5,0,141,130,11,141
18,State,Mizoram,0,9,39,3,51,43,8,0,51,0,15,28,8,0,0,51,45,6,51
19,State,Nagaland,0,20,13,0,33,13,20,0,33,23,10,0,0,0,0,33,33,0,33
20,State,Odisha,205,456,343,91,1095,920,169,6,1095,632,320,137,6,0,0,1095,1091,4,1095
21,State,Punjab,21,43,74,10,148,146,2,0,148,52,37,23,27,7,2,148,148,0,148
22,State,Rajasthan,265,844,1458,252,2819,2539,173,107,2819,1155,813,515,215,69,52,2819,2662,157,2819
23,State,Sikkim,2,3,23,13,41,36,5,0,41,21,19,1,0,0,0,41,41,0,41
24,State,Tamil Nadu,178,873,1222,148,2421,2214,138,69,2421,755,868,658,127,13,0,2421,2382,39,2421
25,State,Telangana,455,512,394,87,1448,1200,159,89,1448,799,180,239,96,85,49,1448,1400,48,1448
26,State,Tripura,2,13,25,3,43,39,4,0,43,26,5,12,0,0,0,43,43,0,43
27,State,Uttar Pradesh,99,327,554,140,1120,874,215,31,1120,307,378,276,121,34,4,1120,1092,28,1120
28,State,Uttarakhand,93,26,30,12,161,139,2,20,161,130,30,0,1,0,0,161,143,18,161
29,State,West Bengal,69,200,360,22,651,476,158,17,651,235,205,164,35,12,0,651,602,49,651
TOTAL (STATES),State,TOTAL (STATES),3971,12893,18044,3178,38086,32666,3901,1519,38086,15802,10749,7566,2587,929,453,38086,35846,2240,38086
30,UT,A & N Islands,1,2,11,2,16,16,0,0,16,2,2,12,0,0,0,16,16,0,16
31,UT,Chandigarh,26,30,59,32,147,120,23,4,147,42,31,52,19,3,0,147,138,9,147
32,UT,D&N Haveli,2,9,3,6,20,20,0,0,20,4,7,7,2,0,0,20,20,0,20
33,UT,Daman & Diu,0,0,2,1,3,3,0,0,3,0,0,2,0,0,1,3,1,2,3
34,UT,Delhi UT,756,1268,912,103,3039,2556,387,96,3039,1625,905,342,149,17,1,3039,2796,243,3039
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,1,27,25,21,74,67,4,3,74,68,1,1,0,2,2,74,60,14,74
TOTAL (Uts),UT,TOTAL (Uts),786,1336,1012,165,3299,2782,414,103,3299,1741,946,416,170,22,4,3299,3031,268,3299
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),4757,14229,19056,3343,41385,35448,4315,1622,41385,17543,11695,7982,2757,951,457,41385,38877,2508,41385
