S. No. (Col.1),City (Col.2),Cases Pending Trial from the Previous Year (Col.3),Cases Sent for Trial during the Year (Col.4),Total Cases for Trial during the Year (Col.5) = (Col.3+4),Number of Cases Withdrawn by the Govt. (Col.6),Number of Cases Disposed by Plea Bargaining (Col.7),Cases Compounded (Col.8),Cases in which Trials were Completed (Col.9) = (Col. 10+11),Cases Convicted (Col.10),Cases Acquitted or Discharged (Col.11),Cases Disposed off by Courts (Col.12) = (Col.6+Col.7 +Col.8+Col.9),Cases Pending Trial at the End of the Year (Col.13) = (Col.5 NA Col.12),Conviction Rate (Col.14) = (Col.10/ Col.9) * 100,Pendency Percentage (Col.15) = (Col.13/ Col.5) * 100
1,Ahmedabad (Gujarat),382,79,461,0,0,0,3,1,2,3,458,33.3,99.3
2,Bengaluru (Karnataka),283,80,363,0,0,0,28,0,28,28,335,0,92.3
3,Chennai (Tamil Nadu),22,11,33,0,0,1,7,0,7,8,25,0,75.8
4,Coimbatore (Tamil Nadu),7,2,9,0,0,0,6,0,6,6,3,0,33.3
5,Delhi,145,26,171,0,0,0,6,0,6,6,165,0,96.5
6,Ghaziabad (Uttar Pradesh),59,43,102,0,0,0,0,0,0,0,102,NA,100
7,Hyderabad (Telangana),122,117,239,0,0,4,16,0,16,20,219,0,91.6
8,Indore (Madhya Pradesh),488,30,518,0,0,9,64,21,43,73,445,32.8,85.9
9,Jaipur (Rajasthan),482,93,575,0,0,0,4,1,3,4,571,25,99.3
10,Kanpur (Uttar Pradesh),505,63,568,0,0,0,82,40,42,82,486,48.8,85.6
11,Kochi (Kerala),68,12,80,0,0,0,5,0,5,5,75,0,93.8
12,Kolkata (West Bengal),8,4,12,0,0,0,0,0,0,0,12,NA,100
13,Kozhikode (Kerala),46,16,62,0,0,0,21,0,21,21,41,0,66.1
14,Lucknow (Uttar Pradesh),441,175,616,0,0,0,66,28,38,66,550,42.4,89.3
15,Mumbai (Maharashtra),80,7,87,0,0,0,3,0,3,3,84,0,96.6
16,Nagpur (Maharashtra),69,32,101,0,0,0,12,1,11,12,89,8.3,88.1
17,Patna (Bihar),704,103,807,0,0,0,3,0,3,3,804,0,99.6
18,Pune (Maharashtra),98,38,136,0,0,0,9,0,9,9,127,0,93.4
19,Surat (Gujarat),43,17,60,0,0,0,0,0,0,0,60,NA,100
Total Cities,Total Cities,4052,948,5000,0,0,14,335,92,243,349,4651,27.5,93
