S. No.,City,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,Ahmedabad (Gujarat),728,82,810,764,87,851,0,0,0,83,0,83,2,0,2
2,Bengaluru (Karnataka),2156,265,2421,1514,179,1693,10,2,12,479,33,512,24,0,24
3,Chennai (Tamil Nadu),139,16,155,191,11,202,47,4,51,88,3,91,0,0,0
4,Coimbatore (Tamil Nadu),131,19,150,118,24,142,9,0,9,28,0,28,0,0,0
5,Delhi,3055,126,3181,2003,51,2054,571,21,592,693,15,708,272,0,272
6,Ghaziabad (Uttar Pradesh),1177,3,1180,428,3,431,102,1,103,93,1,94,0,0,0
7,Hyderabad (Telangana),1782,66,1848,1844,57,1901,42,0,42,383,4,387,4,0,4
8,Indore (Madhya Pradesh),532,34,566,476,31,507,27,2,29,20,4,24,0,0,0
9,Jaipur (Rajasthan),1202,61,1263,1193,59,1252,54,0,54,141,4,145,1,0,1
10,Kanpur (Uttar Pradesh),1385,0,1385,863,0,863,410,0,410,231,0,231,0,0,0
11,Kochi (Kerala),452,36,488,582,49,631,10,1,11,93,0,93,6,0,6
12,Kolkata (West Bengal),2163,20,2183,766,12,778,11,0,11,32,0,32,0,0,0
13,Kozhikode (Kerala),158,7,165,159,6,165,12,0,12,43,0,43,0,0,0
14,Lucknow (Uttar Pradesh),1653,0,1653,391,0,391,10,0,10,12,0,12,0,0,0
15,Mumbai (Maharashtra),2132,188,2320,2698,161,2859,151,4,155,524,19,543,18,1,19
16,Nagpur (Maharashtra),427,46,473,417,6,423,3,0,3,65,3,68,0,0,0
17,Patna (Bihar),872,0,872,1014,0,1014,30,0,30,119,0,119,0,0,0
18,Pune (Maharashtra),963,79,1042,711,60,771,42,2,44,112,9,121,4,0,4
19,Surat (Gujarat),591,34,625,573,34,607,0,0,0,0,0,0,0,0,0
Total Cities,Total Cities,21698,1082,22780,16705,830,17535,1541,37,1578,3239,95,3334,331,1,332
