S. No.,City,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,Ahmedabad(Gujarat),19728,1688,21416,20172,1728,21900,1326,52,1378,6092,723,6815,38,0,38
2,Bengaluru(Karnataka),42764,1758,44522,38935,1466,40401,16578,172,16750,11745,415,12160,109,7,116
3,Chennai(Tamil Nadu),50143,6678,56821,12568,1574,14142,7068,391,7459,2779,212,2991,7,1,8
4,Coimbatore(Tamil Nadu),4348,308,4656,4261,303,4564,2042,101,2143,2812,172,2984,121,1,122
5,Delhi,84559,1682,86241,48884,1075,49959,12218,205,12423,11249,185,11434,2344,29,2373
6,Ghaziabad(Uttar Pradesh),7957,587,8544,4820,367,5187,1212,76,1288,1231,55,1286,0,0,0
7,Hyderabad(Telangana),13638,706,14344,14623,597,15220,2433,13,2446,4065,141,4206,46,0,46
8,Indore (Madhya Pradesh),13072,931,14003,13139,929,14068,7653,99,7752,6259,180,6439,10,1,11
9,Jaipur (Rajasthan),13415,863,14278,13297,853,14150,2728,93,2821,2770,100,2870,39,2,41
10,Kanpur (Uttar Pradesh),10448,309,10757,7344,221,7565,2843,55,2898,2068,52,2120,0,0,0
11,Kochi (Kerala),17451,318,17769,17913,334,18247,9186,53,9239,1612,70,1682,19,0,19
12,Kolkata (West Bengal),20785,1267,22052,12653,659,13312,1469,40,1509,959,35,994,0,0,0
13,Kozhikode (Kerala),8584,169,8753,8666,115,8781,6024,18,6042,1635,51,1686,1,0,1
14,Lucknow (Uttar Pradesh),13292,0,13292,6264,0,6264,1169,0,1169,1050,0,1050,0,0,0
15,Mumbai (Maharashtra),36212,3305,39517,38809,3283,42092,7274,223,7497,8514,470,8984,859,11,870
16,Nagpur (Maharashtra),11514,687,12201,10514,273,10787,1105,25,1130,4015,193,4208,0,0,0
17,Patna (Bihar),9948,129,10077,7203,11,7214,349,6,355,4724,53,4777,0,0,0
18,Pune (Maharashtra),15511,1246,16757,14900,1144,16044,1398,48,1446,4083,279,4362,200,8,208
19,Surat (Gujarat),21529,670,22199,21735,661,22396,1823,56,1879,1311,1,1312,0,0,0
Total Cities,Total Cities,414898,23301,438199,316700,15593,332293,85898,1726,87624,78973,3387,82360,3793,60,3853
