S.No. (Col.1),Crime Head (Col.2),Cases Pending Trial from the Previous Year (Col.3),Cases Sent for Trial during the Year (Col.4),Total number of Cases for Trial during the Year (Col.5) = (Col.3+4),Number of Cases Withdrawn by the Govt. (Col.6),Number of Cases Disposed by Plea Bargaining (Col.7),Cases Compounded (Col.8),Cases in which Trials were Completed (Col.9) = (Col. 10+11),Cases Convicted (Col.10),Cases Acquitted or Discharged (Col.11),Cases Disposed off by Courts (Col.12) = (Col.6+ Col.7+ Col.8+ Col.9),Cases Pending Trial at the End of the Year (Col.13) = (Col.5 - Col.12),Conviction Rate (Col.14) = (Col.10/ Col.9) * 100,Pendency Percentage (Col.15) = (Col.13/ Col.5) * 100
1,Murder,1824,988,2812,1,0,0,317,122,195,318,2494,38.5,88.7
2,Culpable Homicide not Amounting to Murder,118,78,196,0,0,0,5,2,3,5,191,40,97.4
3,Attempt to Commit Murder,760,359,1119,0,0,0,89,20,69,89,1030,22.5,92
4,Attempt to Commit Culpable Homicide,149,67,216,0,0,0,7,1,6,7,209,14.3,96.8
5,Grievous Hurt,1926,891,2817,0,0,40,275,73,202,315,2502,26.5,88.8
6,Rape,93,41,134,0,0,1,8,1,7,9,125,12.5,93.3
7,Extortion,61,65,126,0,0,0,13,1,12,13,113,7.7,89.7
8,Robbery,1112,584,1696,0,0,1,134,51,83,135,1561,38.1,92
9,Dacoity,62,36,98,0,0,0,3,0,3,3,95,0,96.9
10,Cheating,1214,712,1926,0,0,12,143,27,116,155,1771,18.9,92
11,Other IPC Crimes,17458,12070,29528,0,12,742,4837,1798,3039,5591,23937,37.2,81.1
Total IPC Crimes Against Senior Citizen,Total IPC Crimes Against Senior Citizen,24777,15891,40668,1,12,796,5831,2096,3735,6640,34028,35.9,83.7
