S.No. (Col.1),Crime Head (Col.2),Cases Pending Trial from the Previous Year (Col.3),Cases Sent for Trial during the Year (Col.4),Total no. of Cases for Trial during the Year (Col.5) = (Col.3+4),Number of Cases Withdrawn by the Govt. (Col.6),Number of Cases Disposed by Plea Bargaining (Col.7),Cases Compounded (Col.8),Cases in Which Trials were Completed (Col.9) = (Col. 10+11),Cases Convicted (Col.10),Cases Acquitted or Discharged (Col.11),Cases Disposed off by Courts (Col.12) = (Col.6+ Col.7+ Col.8+ Col.9),Cases Pending Trial at the End of the Year (Col.13) = (Col.5 - Col.12),Conviction Rate (Col.14) = (Col.10/ Col.9) * 100,Pendency Percentage (Col.15) = (Col.13/ Col.5) * 100
1,Murder,117,78,195,0,0,0,11,6,5,11,184,54.5,94.4
2,"Culpable Homicide not Amounting 
 to Murder",8,10,18,0,0,0,0,0,0,0,18,NA,100
3,Attempt to Commit Murder,26,13,39,0,0,0,6,3,3,6,33,50,84.6
4,Attempt to Commit Culpable Homicide,15,1,16,0,0,0,0,0,0,0,16,NA,100
5,Grievous Hurt,70,53,123,0,0,1,4,1,3,5,118,25,95.9
6,Rape,4,2,6,0,0,0,0,0,0,0,6,NA,100
7,Extortion,10,10,20,0,0,0,1,0,1,1,19,0,95
8,Robbery,376,232,608,0,0,0,34,20,14,34,574,58.8,94.4
9,Dacoity,16,5,21,0,0,0,0,0,0,0,21,NA,100
10,Cheating,212,124,336,0,0,1,9,7,2,10,326,77.8,97
11,Other IPC Crimes,971,1216,2187,0,0,14,274,205,69,288,1899,74.8,86.8
Total IPC Crimes Against Senior Citizen,Total IPC Crimes Against Senior Citizen,1825,1744,3569,0,0,16,339,242,97,355,3214,71.4,90.1
