S. No.,Category,State/UT,Below 18 Years - Male,Below 18 Years - Female,Below 18 Years - Total,18 Years & Above – Below 30 Years - Male,18 Years & Above – Below 30 Years - Female,18 Years & Above – Below 30 Years - Total,30 Years & Above – Below 45 Years - Male,30 Years & Above – Below 45 Years - Female,30 Years & Above – Below 45 Years - Total,45 Years & Above – Below 60 Years - Male,45 Years & Above – Below 60 Years - Female,45 Years & Above – Below 60 Years - Total,60 Years & Above - Male,60 Years & Above - Female,60 Years & Above - Total,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Total of Overall Age-Group - Total
1,State,Andhra Pradesh,1185,30,1215,55996,5306,61302,58383,6666,65049,21922,2977,24899,2727,416,3143,140213,15395,155608
2,State,Arunachal Pradesh,75,3,78,1526,90,1616,906,59,965,186,14,200,4,1,5,2697,167,2864
3,State,Assam,446,0,446,45141,440,45581,59453,407,59860,9578,49,9627,9,0,9,114627,896,115523
4,State,Bihar,2437,6,2443,116301,4556,120857,76392,3973,80365,27723,1536,29259,564,48,612,223417,10119,233536
5,State,Chhattisgarh,2206,56,2262,30129,1544,31673,23112,1509,24621,8858,779,9637,948,164,1112,65253,4052,69305
6,State,Goa,25,1,26,1170,68,1238,913,127,1040,370,41,411,72,7,79,2550,244,2794
7,State,Gujarat,1905,49,1954,76650,3829,80479,74490,5366,79856,29770,2950,32720,3020,378,3398,185835,12572,198407
8,State,Haryana,1216,2,1218,38122,867,38989,27094,1209,28303,9786,592,10378,800,60,860,77018,2730,79748
9,State,Himachal Pradesh,241,10,251,6381,510,6891,6165,866,7031,2656,550,3206,565,144,709,16008,2080,18088
10,State,Jammu & Kashmir,300,9,309,12219,598,12817,17878,859,18737,3524,267,3791,564,37,601,34485,1770,36255
11,State,Jharkhand,116,8,124,12608,450,13058,17115,737,17852,5096,274,5370,56,23,79,34991,1492,36483
12,State,Karnataka,596,5,601,66391,3055,69446,69160,5182,74342,23842,2258,26100,2149,280,2429,162138,10780,172918
13,State,Kerala,962,5,967,120424,1063,121487,116852,2034,118886,50206,986,51192,6641,134,6775,295085,4222,299307
14,State,Madhya Pradesh,7876,427,8303,160941,8159,169100,135766,8809,144575,55644,4465,60109,6568,727,7295,366795,22587,389382
15,State,Maharashtra,7194,206,7400,142087,9620,151707,102850,11096,113946,41494,5829,47323,6311,1278,7589,299936,28029,327965
16,State,Manipur,8,0,8,615,31,646,506,62,568,163,50,213,22,7,29,1314,150,1464
17,State,Meghalaya,76,3,79,1108,13,1121,711,9,720,138,1,139,53,0,53,2086,26,2112
18,State,Mizoram,54,5,59,1506,51,1557,873,34,907,171,5,176,4,1,5,2608,96,2704
19,State,Nagaland,22,1,23,546,11,557,463,5,468,79,1,80,14,1,15,1124,19,1143
20,State,Odisha,1237,28,1265,49425,1214,50639,33458,1360,34818,10640,550,11190,494,42,536,95254,3194,98448
21,State,Punjab,141,0,141,17921,771,18692,16182,1286,17468,6805,452,7257,419,60,479,41468,2569,44037
22,State,Rajasthan,2758,73,2831,70003,3201,73204,61708,4855,66563,26339,1891,28230,1993,169,2162,162801,10189,172990
23,State,Sikkim,35,2,37,442,20,462,267,18,285,39,2,41,5,1,6,788,43,831
24,State,Tamil Nadu,2183,12,2195,105378,7820,113198,107621,11008,118629,46066,2823,48889,3826,296,4122,265074,21959,287033
25,State,Telangana,1149,24,1173,45813,2643,48456,49795,3640,53435,18087,1904,19991,3770,475,4245,118614,8686,127300
26,State,Tripura,34,1,35,2130,170,2300,1483,146,1629,524,53,577,12,1,13,4183,371,4554
27,State,Uttar Pradesh,1459,30,1489,297274,7947,305221,178190,7357,185547,66863,3856,70719,3088,144,3232,546874,19334,566208
28,State,Uttarakhand,147,3,150,3170,84,3254,4828,189,5017,1602,90,1692,148,17,165,9895,383,10278
29,State,West Bengal,704,26,730,69615,2287,71902,71332,2959,74291,28903,1484,30387,691,50,741,171245,6806,178051
Total (States),State,Total (States),36787,1025,37812,1551032,66418,1617450,1313946,81827,1395773,497074,36729,533803,45537,4961,50498,3444376,190960,3635336
30,UT,A & N Islands,13,0,13,277,14,291,306,20,326,98,8,106,13,2,15,707,44,751
31,UT,Chandigarh,140,1,141,1155,44,1199,932,48,980,364,30,394,103,5,108,2694,128,2822
32,UT,D&N Haveli,9,0,9,162,3,165,149,9,158,36,2,38,3,0,3,359,14,373
33,UT,Daman & Diu,7,1,8,192,2,194,127,7,134,37,3,40,4,2,6,367,15,382
34,UT,Delhi,3728,21,3749,51385,755,52140,28507,807,29314,7250,283,7533,422,10,432,91292,1876,93168
35,UT,Lakshadweep,0,0,0,5,0,5,2,0,2,4,2,6,0,0,0,11,2,13
36,UT,Puducherry,93,1,94,2074,79,2153,1775,83,1858,742,34,776,139,5,144,4823,202,5025
Total (UTs),UT,Total (UTs),3990,24,4014,55250,897,56147,31798,974,32772,8531,362,8893,684,24,708,100253,2281,102534
Total (All India),Total (All India),Total (All India),40777,1049,41826,1606282,67315,1673597,1345744,82801,1428545,505605,37091,542696,46221,4985,51206,3544629,193241,3737870
