S. No. (Col.1),State/UT (Col.2),Cases Pending Trial from the Previous Year (Col.3),Cases Sent for Trial during the Year (Col.4),Total Cases for Trial during the Year (Col.5) = (Col.3+4),Number of Cases Withdrawn by the Govt. (Col.6),Number of Cases Disposed by Plea Bargaining (Col.7),Cases Compounded (Col.8),Cases in which Trials were Completed (Col.9) = (Col. 10+11),Cases Convicted (Col.10),Cases Acquitted or Discharged (Col.11),Cases Disposed off by Courts (Col.12) = (Col.6+Col.7 +Col.8+Col.9),Cases Pending Trial at the End of the Year (Col.13) = (Col.5 - Col.12),Conviction Rate (Col.14) = (Col.10/ Col.9) * 100,Pendency Percentage (Col.15) = (Col.13/ Col.5) * 100
1,Andhra Pradesh,2394,1206,3600,10,0,10,979,31,948,999,2601,3.2,72.3
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,NA,NA
3,Assam,1,3,4,0,0,0,0,0,0,0,4,NA,100
4,Bihar,22584,5228,27812,0,0,0,1127,204,923,1127,26685,18.1,95.9
5,Chhattisgarh,1105,250,1355,0,0,0,137,56,81,137,1218,40.9,89.9
6,Goa,31,3,34,0,0,0,13,1,12,13,21,7.7,61.8
7,Gujarat,6650,1198,7848,0,0,2,480,22,458,482,7366,4.6,93.9
8,Haryana,532,476,1008,0,0,0,302,39,263,302,706,12.9,70
9,Himachal Pradesh,260,86,346,0,0,8,31,1,30,39,307,3.2,88.7
10,Jammu & Kashmir,2,1,3,0,0,0,0,0,0,0,3,NA,100
11,Jharkhand,1285,281,1566,0,0,0,213,87,126,213,1353,40.8,86.4
12,Karnataka,5770,1493,7263,0,0,0,779,22,757,779,6484,2.8,89.3
13,Kerala,1800,444,2244,0,0,0,165,13,152,165,2079,7.9,92.6
14,Madhya Pradesh,11621,4611,16232,0,0,342,2842,886,1956,3184,13048,31.2,80.4
15,Maharashtra,7449,1490,8939,0,0,14,1012,106,906,1026,7913,10.5,88.5
16,Manipur,0,3,3,0,0,0,0,0,0,0,3,NA,100
17,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,NA,NA
18,Mizoram,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,Nagaland,0,0,0,0,0,0,0,0,0,0,0,NA,NA
20,Odisha,6538,1436,7974,0,0,0,1017,34,983,1017,6957,3.3,87.2
21,Punjab,170,82,252,0,0,0,58,16,42,58,194,27.6,77
22,Rajasthan,11420,2391,13811,0,61,29,1215,541,674,1305,12506,44.5,90.6
23,Sikkim,2,0,2,0,0,0,2,0,2,2,0,0,0
24,Tamil Nadu,4062,992,5054,0,0,1,982,76,906,983,4071,7.7,80.6
25,Telangana,1737,780,2517,0,0,9,372,24,348,381,2136,6.5,84.9
26,Tripura,0,0,0,0,0,0,0,0,0,0,0,NA,NA
27,Uttar Pradesh,27928,8387,36315,0,0,47,2813,1570,1243,2860,33455,55.8,92.1
28,Uttarakhand,114,39,153,0,0,0,42,24,18,42,111,57.1,72.5
29,West Bengal,308,127,435,0,0,0,28,0,28,28,407,0,93.6
Total (States),Total (States),113763,31007,144770,10,61,462,14609,3753,10856,15142,129628,25.7,89.5
30,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,NA,NA
31,Chandigarh,2,0,2,0,0,0,0,0,0,0,2,NA,100
32,D&N Haveli,4,0,4,0,0,0,0,0,0,0,4,NA,100
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,NA,NA
34,Delhi,167,32,199,0,0,0,6,0,6,6,193,0,97
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,NA,NA
36,Puducherry,1,3,4,0,0,0,0,0,0,0,4,NA,100
Total (UTs),Total (UTs),174,35,209,0,0,0,6,0,6,6,203,0,97.1
Total (All-India),Total (All-India),113937,31042,144979,10,61,462,14615,3753,10862,15148,129831,25.7,89.6
