S. No.,State/UT,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,Andhra Pradesh,1802,66,1868,1730,60,1790,121,1,122,1435,37,1472,13,0,13
2,Arunachal Pradesh,103,3,106,78,2,80,1,0,1,7,0,7,7,0,7
3,Assam,4175,4,4179,1438,1,1439,57,0,57,287,0,287,0,0,0
4,Bihar,4300,0,4300,3338,0,3338,97,0,97,304,0,304,0,0,0
5,Chhattisgarh,4014,140,4154,3966,134,4100,1006,29,1035,1312,42,1354,33,0,33
6,Goa,167,20,187,150,15,165,17,1,18,73,9,82,27,0,27
7,Gujarat,3327,104,3431,3377,115,3492,43,1,44,381,11,392,0,0,0
8,Haryana,2356,65,2421,2112,62,2174,196,1,197,925,7,932,0,0,0
9,Himachal Pradesh,364,22,386,326,22,348,36,2,38,144,9,153,3,0,3
10,Jammu & Kashmir,170,4,174,133,3,136,4,0,4,76,0,76,0,0,0
11,Jharkhand,664,8,672,474,5,479,45,0,45,118,0,118,0,0,0
12,Karnataka,3063,150,3213,2541,109,2650,87,1,88,605,13,618,4,5,9
13,Kerala,3893,132,4025,3637,96,3733,86,5,91,462,7,469,7,5,12
14,Madhya Pradesh,13163,356,13519,12182,324,12506,2171,29,2200,4998,104,5102,10,0,10
15,Maharashtra,9126,435,9561,8785,395,9180,453,9,462,1738,65,1803,34,1,35
16,Manipur,87,1,88,74,1,75,1,0,1,1,0,1,9,0,9
17,Meghalaya,197,7,204,146,1,147,35,0,35,10,0,10,19,0,19
18,Mizoram,187,6,193,164,6,170,60,3,63,2,0,2,0,0,0
19,Nagaland,60,2,62,33,1,34,12,0,12,8,0,8,12,0,12
20,Odisha,2526,27,2553,2467,28,2495,54,0,54,471,38,509,0,0,0
21,Punjab,1598,72,1670,1024,49,1073,195,6,201,463,8,471,14,1,15
22,Rajasthan,2855,45,2900,2857,45,2902,314,1,315,524,5,529,44,0,44
23,Sikkim,112,3,115,94,4,98,8,1,9,10,0,10,0,0,0
24,Tamil Nadu,3111,184,3295,2607,111,2718,671,21,692,1110,45,1155,0,0,0
25,Telangana,3255,67,3322,2657,49,2706,100,0,100,757,4,761,2,1,3
26,Tripura,266,7,273,217,6,223,30,0,30,80,1,81,2,0,2
27,Uttar Pradesh,25232,395,25627,16404,224,16628,2542,29,2571,2448,41,2489,10,0,10
28,Uttarakhand,364,1,365,320,1,321,57,0,57,17,0,17,0,0,0
29,West Bengal,5205,106,5311,4847,96,4943,86,1,87,825,22,847,0,0,0
Total (States),Total (States),95742,2432,98174,78178,1965,80143,8585,141,8726,19591,468,20059,250,13,263
30,A & N Islands,81,7,88,63,10,73,2,1,3,5,0,5,6,0,6
31,Chandigarh,108,6,114,112,4,116,52,0,52,59,0,59,0,0,0
32,D&N Haveli,15,0,15,19,0,19,2,0,2,5,0,5,0,0,0
33,Daman & Diu,14,1,15,10,0,10,0,0,0,0,0,0,0,0,0
34,Delhi,2847,47,2894,2561,30,2591,332,3,335,489,4,493,48,0,48
35,Lakshadweep,3,1,4,4,1,5,0,0,0,0,0,0,0,0,0
36,Puducherry,55,1,56,56,2,58,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),3123,63,3186,2825,47,2872,388,4,392,558,4,562,54,0,54
Total (All-India),Total (All-India),98865,2495,101360,81003,2012,83015,8973,145,9118,20149,472,20621,304,13,317
