S. No.,Category,State/UT,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,State,Andhra Pradesh,21911,4695,26606,17590,3654,21244,1169,110,1279,10114,1500,11614,744,60,804
2,State,Arunachal Pradesh,364,25,389,264,20,284,23,0,23,54,0,54,13,0,13
3,State,Assam,21657,81,21738,11545,44,11589,475,0,475,6153,23,6176,3,0,3
4,State,Bihar,16123,1325,17448,17350,1016,18366,925,63,988,3806,161,3967,22,0,22
5,State,Chhattisgarh,6594,723,7317,6413,669,7082,1453,120,1573,3771,315,4086,133,11,144
6,State,Goa,312,37,349,282,18,300,18,1,19,152,11,163,24,0,24
7,State,Gujarat,13910,4739,18649,13963,4594,18557,235,59,294,6401,2203,8604,56,2,58
8,State,Haryana,8465,831,9296,7515,656,8171,758,19,777,5197,528,5725,0,0,0
9,State,Himachal Pradesh,1365,270,1635,1304,260,1564,117,3,120,839,108,947,0,0,0
10,State,Jammu & Kashmir,3805,180,3985,3373,173,3546,65,3,68,2418,111,2529,6,0,6
11,State,Jharkhand,6078,426,6504,4635,362,4997,813,33,846,1848,142,1990,21,4,25
12,State,Karnataka,18369,4361,22730,15127,3520,18647,365,22,387,8328,1750,10078,40,3,43
13,State,Kerala,11551,912,12463,10706,813,11519,600,57,657,5232,411,5643,190,18,208
14,State,Madhya Pradesh,35245,5418,40663,34325,5337,39662,5763,436,6199,14678,1490,16168,1036,68,1104
15,State,Maharashtra,37461,9480,46941,36970,7716,44686,1956,145,2101,15993,3597,19590,609,108,717
16,State,Manipur,136,15,151,173,4,177,9,2,11,1,0,1,15,0,15
17,State,Meghalaya,281,2,283,390,4,394,127,0,127,33,1,34,27,0,27
18,State,Mizoram,125,1,126,121,1,122,75,1,76,6,0,6,3,0,3
19,State,Nagaland,72,0,72,67,0,67,30,0,30,12,0,12,23,1,24
20,State,Odisha,19146,691,19837,19170,741,19911,883,35,918,10174,453,10627,0,0,0
21,State,Punjab,5370,780,6150,4162,514,4676,815,79,894,2386,286,2672,58,22,80
22,State,Rajasthan,18870,1587,20457,18986,1611,20597,3959,200,4159,6856,632,7488,492,85,577
23,State,Sikkim,156,3,159,121,2,123,11,0,11,18,4,22,1,0,1
24,State,Tamil Nadu,6102,1768,7870,5103,1183,6286,841,113,954,4032,628,4660,23,7,30
25,State,Telangana,18369,2918,21287,15929,2384,18313,700,33,733,7417,830,8247,5,0,5
26,State,Tripura,1016,126,1142,996,83,1079,146,6,152,511,40,551,11,0,11
27,State,Uttar Pradesh,117651,12598,130249,73968,8032,82000,14010,1138,15148,11655,1154,12809,84,8,92
28,State,Uttarakhand,1411,155,1566,1344,146,1490,346,1,347,398,53,451,4,1,5
29,State,West Bengal,32730,1996,34726,33124,2091,35215,384,8,392,18701,952,19653,45,0,45
Total (States),State,Total (States),424645,56143,480788,355016,45648,400664,37071,2687,39758,147184,17383,164567,3688,398,4086
30,UT,A & N Islands,113,1,114,87,2,89,14,0,14,44,7,51,13,3,16
31,UT,Chandigarh,383,16,399,340,18,358,61,0,61,198,13,211,0,0,0
32,UT,D&N Haveli,27,1,28,38,2,40,2,0,2,26,3,29,0,0,0
33,UT,Daman & Diu,43,5,48,34,0,34,0,0,0,44,17,61,7,13,20
34,UT,Delhi,13151,608,13759,9461,422,9883,914,17,931,2079,42,2121,173,14,187
35,UT,Lakshadweep,5,2,7,6,1,7,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,87,6,93,87,8,95,6,0,6,2,0,2,1,0,1
Total (UTs),UT,Total (UTs),13809,639,14448,10053,453,10506,997,17,1014,2393,82,2475,194,30,224
Total U(All India),Total U(All India),Total U(All India),438454,56782,495236,365069,46101,411170,38068,2704,40772,149577,17465,167042,3882,428,4310
