S. No.,Category,State/UT,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,State,Andhra Pradesh,140213,15395,155608,108910,11271,120181,19083,847,19930,58582,4397,62979,2382,85,2467
2,State,Arunachal Pradesh,2697,167,2864,2279,128,2407,125,3,128,312,4,316,71,0,71
3,State,Assam,114627,896,115523,51932,307,52239,3062,6,3068,23790,221,24011,3,0,3
4,State,Bihar,223417,10119,233536,192135,6302,198437,10234,327,10561,59207,1139,60346,256,6,262
5,State,Chhattisgarh,65253,4052,69305,65444,3986,69430,25163,789,25952,34269,1538,35807,1505,110,1615
6,State,Goa,2550,244,2794,2188,120,2308,334,10,344,1387,70,1457,90,0,90
7,State,Gujarat,185835,12572,198407,181494,12182,193676,25879,703,26582,60621,4416,65037,729,18,747
8,State,Haryana,77018,2730,79748,72319,2502,74821,15289,183,15472,45813,1319,47132,0,0,0
9,State,Himachal Pradesh,16008,2080,18088,15559,2037,17596,2574,150,2724,8756,1039,9795,80,4,84
10,State,Jammu & Kashmir,34485,1770,36255,32727,1669,34396,5388,65,5453,13615,673,14288,139,1,140
11,State,Jharkhand,34991,1492,36483,28711,865,29576,4449,66,4515,15692,412,16104,136,16,152
12,State,Karnataka,162138,10780,172918,145618,8948,154566,44127,450,44577,59537,4013,63550,446,14,460
13,State,Kerala,295085,4222,299307,283710,3703,287413,160079,527,160606,45421,1076,46497,655,38,693
14,State,Madhya Pradesh,366795,22587,389382,357365,21790,379155,102927,2521,105448,119580,5498,125078,4562,261,4823
15,State,Maharashtra,299936,28029,327965,301191,23991,325182,45819,2499,48318,115498,9219,124717,6269,505,6774
16,State,Manipur,1314,150,1464,915,84,999,77,9,86,10,2,12,106,16,122
17,State,Meghalaya,2086,26,2112,2862,40,2902,1154,2,1156,434,2,436,344,0,344
18,State,Mizoram,2608,96,2704,2473,69,2542,1779,52,1831,109,1,110,15,0,15
19,State,Nagaland,1124,19,1143,1016,23,1039,527,10,537,103,2,105,242,8,250
20,State,Odisha,95254,3194,98448,98509,3226,101735,7472,110,7582,69928,1954,71882,5,0,5
21,State,Punjab,41468,2569,44037,33926,1971,35897,11369,550,11919,22435,1168,23603,557,56,613
22,State,Rajasthan,162801,10189,172990,162945,10166,173111,55056,2672,57728,51891,3011,54902,5270,306,5576
23,State,Sikkim,788,43,831,709,37,746,109,0,109,415,59,474,19,1,20
24,State,Tamil Nadu,265074,21959,287033,188633,13014,201647,90742,6297,97039,79269,6995,86264,1035,128,1163
25,State,Telangana,118614,8686,127300,104727,6633,111360,21447,345,21792,44853,2371,47224,56,0,56
26,State,Tripura,4183,371,4554,3729,219,3948,755,37,792,2365,85,2450,19,0,19
27,State,Uttar Pradesh,546874,19334,566208,436585,12170,448755,95600,1978,97578,66553,1809,68362,866,212,1078
28,State,Uttarakhand,9895,383,10278,9452,367,9819,2504,11,2515,2879,118,2997,28,2,30
29,State,West Bengal,171245,6806,178051,165967,6321,172288,4801,99,4900,74825,2998,77823,65,0,65
Total (States),State,Total (States),3444376,190960,3635336,3054030,154141,3208171,757924,21318,779242,1078149,55609,1133758,25950,1787,27737
30,UT,A & N Islands,707,44,751,662,44,706,238,24,262,348,15,363,98,12,110
31,UT,Chandigarh,2694,128,2822,2385,128,2513,1113,27,1140,1785,45,1830,0,0,0
32,UT,D&N Haveli,359,14,373,457,20,477,35,0,35,388,9,397,0,0,0
33,UT,Daman & Diu,367,15,382,436,12,448,9,0,9,183,2,185,45,0,45
34,UT,Delhi UT,91292,1876,93168,52832,1198,54030,12634,205,12839,11983,201,12184,2414,30,2444
35,UT,Lakshadweep,11,2,13,24,1,25,52,0,52,27,0,27,0,0,0
36,UT,Puducherry,4823,202,5025,4732,160,4892,1020,17,1037,80,0,80,31,0,31
Total (UTs),UT,Total (UTs),100253,2281,102534,61528,1563,63091,15101,273,15374,14794,272,15066,2588,42,2630
Total (All India),Total (All India),Total (All India),3544629,193241,3737870,3115558,155704,3271262,773025,21591,794616,1092943,55881,1148824,28538,1829,30367
