S. No.,Category,State/UT,Persons Arrested - IPC,Persons Arrested - SLL,Persons Arrested - Total (IPC+SLL),Persons Chargesheeted - IPC,Persons Chargesheeted - SLL,Persons Chargesheeted - Total (IPC+SLL),Persons Convicted - IPC,Persons Convicted - SLL,Persons Convicted - Total (IPC+SLL),Persons Acquitted - IPC,Persons Acquitted - SLL,Persons Acquitted - Total (IPC+SLL),Persons Discharged - IPC,Persons Discharged - SLL,Persons Discharged - Total (IPC+SLL)
1,State,Andhra Pradesh,155608,42481,198089,120181,38452,158633,19930,29451,49381,62979,3702,66681,2467,24,2491
2,State,Arunachal Pradesh,2864,249,3113,2407,229,2636,128,9,137,316,5,321,71,2,73
3,State,Assam,115523,6300,121823,52239,2401,54640,3068,153,3221,24011,590,24601,3,0,3
4,State,Bihar,233536,35883,269419,198437,33409,231846,10561,2043,12604,60346,4730,65076,262,12,274
5,State,Chhattisgarh,69305,52707,122012,69430,53512,122942,25952,43699,69651,35807,4918,40725,1615,218,1833
6,State,Goa,2794,1233,4027,2308,1242,3550,344,48,392,1457,785,2242,90,30,120
7,State,Gujarat,198407,343419,541826,193676,339161,532837,26582,108111,134693,65037,88918,153955,747,474,1221
8,State,Haryana,79748,38851,118599,74821,37356,112177,15472,22345,37817,47132,9772,56904,0,0,0
9,State,Himachal Pradesh,18088,5049,23137,17596,4709,22305,2724,1456,4180,9795,1450,11245,84,4,88
10,State,Jammu & Kashmir,36255,2982,39237,34396,2762,37158,5453,907,6360,14288,1089,15377,140,23,163
11,State,Jharkhand,36483,8636,45119,29576,6593,36169,4515,1196,5711,16104,2303,18407,152,46,198
12,State,Karnataka,172918,73228,246146,154566,66446,221012,44577,32060,76637,63550,11920,75470,460,98,558
13,State,Kerala,299307,471456,770763,287413,458576,745989,160606,319033,479639,46497,5539,52036,693,99,792
14,State,Madhya Pradesh,389382,144469,533851,379155,142018,521173,105448,124729,230177,125078,10821,135899,4823,27,4850
15,State,Maharashtra,327965,208212,536177,325182,206772,531954,48318,44370,92688,124717,57446,182163,6774,7856,14630
16,State,Manipur,1464,930,2394,999,608,1607,86,171,257,12,11,23,122,57,179
17,State,Meghalaya,2112,223,2335,2902,330,3232,1156,136,1292,436,35,471,344,44,388
18,State,Mizoram,2704,424,3128,2542,366,2908,1831,185,2016,110,30,140,15,4,19
19,State,Nagaland,1143,656,1799,1039,699,1738,537,374,911,105,42,147,250,34,284
20,State,Odisha,98448,30232,128680,101735,30274,132009,7582,4924,12506,71882,12610,84492,5,0,5
21,State,Punjab,44037,21688,65725,35897,23141,59038,11919,15539,27458,23603,6036,29639,613,227,840
22,State,Rajasthan,172990,91883,264873,173111,91721,264832,57728,73467,131195,54902,2753,57655,5576,215,5791
23,State,Sikkim,831,269,1100,746,280,1026,109,72,181,474,63,537,20,2,22
24,State,Tamil Nadu,287033,324938,611971,201647,296279,497926,97039,249422,346461,86264,38040,124304,1163,732,1895
25,State,Telangana,127300,15845,143145,111360,14014,125374,21792,4796,26588,47224,6731,53955,56,29,85
26,State,Tripura,4554,255,4809,3948,214,4162,792,128,920,2450,155,2605,19,0,19
27,State,Uttar Pradesh,566208,417707,983915,448755,370558,819313,97578,172707,270285,68362,14609,82971,1078,28,1106
28,State,Uttarakhand,10278,5848,16126,9819,5637,15456,2515,5612,8127,2997,826,3823,30,11,41
29,State,West Bengal,178051,30744,208795,172288,23028,195316,4900,2266,7166,77823,3881,81704,65,776,841
Total (States),State,Total (States),3635336,2376797,6012133,3208171,2250787,5458958,779242,1259409,2038651,1133758,289810,1423568,27737,11072,38809
30,UT,A & N Islands,751,2061,2812,706,2004,2710,262,1679,1941,363,21,384,110,6,116
31,UT,Chandigarh,2822,1532,4354,2513,1706,4219,1140,1514,2654,1830,118,1948,0,0,0
32,UT,D&N Haveli,373,21,394,477,44,521,35,0,35,397,12,409,0,0,0
33,UT,Daman & Diu,382,59,441,448,74,522,9,0,9,185,101,286,45,20,65
34,UT,Delhi,93168,11138,104306,54030,9181,63211,12839,3077,15916,12184,1873,14057,2444,136,2580
35,UT,Lakshadweep,13,51,64,25,53,78,52,41,93,27,5,32,0,0,0
36,UT,Puducherry,5025,978,6003,4892,985,5877,1037,486,1523,80,1,81,31,27,58
Total (UTs),UT,Total (UTs),102534,15840,118374,63091,14047,77138,15374,6797,22171,15066,2131,17197,2630,189,2819
Total (All India),Total (All India),Total (All India),3737870,2392637,6130507,3271262,2264834,5536096,794616,1266206,2060822,1148824,291941,1440765,30367,11261,41628
