S. No.,Category,State/UT,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,State,Andhra Pradesh,41718,763,42481,38003,449,38452,29388,63,29451,3563,139,3702,24,0,24
2,State,Arunachal Pradesh,224,25,249,222,7,229,9,0,9,5,0,5,2,0,2
3,State,Assam,6252,48,6300,2390,11,2401,153,0,153,587,3,590,0,0,0
4,State,Bihar,34560,1323,35883,32860,549,33409,2023,20,2043,4647,83,4730,12,0,12
5,State,Chhattisgarh,51802,905,52707,52620,892,53512,43293,406,43699,4710,208,4918,216,2,218
6,State,Goa,1225,8,1233,1231,11,1242,46,2,48,783,2,785,28,2,30
7,State,Gujarat,246698,96721,343419,244398,94763,339161,90368,17743,108111,52413,36505,88918,464,10,474
8,State,Haryana,38334,517,38851,36933,423,37356,22316,29,22345,9562,210,9772,0,0,0
9,State,Himachal Pradesh,4820,229,5049,4497,212,4709,1376,80,1456,1404,46,1450,4,0,4
10,State,Jammu & Kashmir,2921,61,2982,2701,61,2762,897,10,907,1068,21,1089,23,0,23
11,State,Jharkhand,8324,312,8636,6368,225,6593,1173,23,1196,2210,93,2303,44,2,46
12,State,Karnataka,70883,2345,73228,64567,1879,66446,31999,61,32060,11108,812,11920,96,2,98
13,State,Kerala,470939,517,471456,458162,414,458576,318707,326,319033,5478,61,5539,95,4,99
14,State,Madhya Pradesh,141543,2926,144469,139473,2545,142018,122652,2077,124729,10676,145,10821,27,0,27
15,State,Maharashtra,199342,8870,208212,198743,8029,206772,44045,325,44370,54444,3002,57446,7112,744,7856
16,State,Manipur,867,63,930,548,60,608,168,3,171,11,0,11,54,3,57
17,State,Meghalaya,216,7,223,323,7,330,135,1,136,35,0,35,44,0,44
18,State,Mizoram,357,67,424,307,59,366,156,29,185,28,2,30,4,0,4
19,State,Nagaland,617,39,656,656,43,699,329,45,374,41,1,42,33,1,34
20,State,Odisha,29438,794,30232,29483,791,30274,4910,14,4924,12399,211,12610,0,0,0
21,State,Punjab,20678,1010,21688,22345,796,23141,15188,351,15539,5767,269,6036,220,7,227
22,State,Rajasthan,91092,791,91883,90931,790,91721,73281,186,73467,2716,37,2753,210,5,215
23,State,Sikkim,262,7,269,270,10,280,70,2,72,58,5,63,2,0,2
24,State,Tamil Nadu,307789,17149,324938,285595,10684,296279,244132,5290,249422,34284,3756,38040,673,59,732
25,State,Telangana,15215,630,15845,13640,374,14014,4743,53,4796,6460,271,6731,29,0,29
26,State,Tripura,217,38,255,176,38,214,92,36,128,155,0,155,0,0,0
27,State,Uttar Pradesh,414459,3248,417707,367608,2950,370558,172088,619,172707,14465,144,14609,28,0,28
28,State,Uttarakhand,5639,209,5848,5428,209,5637,5585,27,5612,820,6,826,11,0,11
29,State,West Bengal,29498,1246,30744,22620,408,23028,2217,49,2266,3795,86,3881,776,0,776
Total (States),State,Total (States),2235929,140868,2376797,2123098,127689,2250787,1231539,27870,1259409,243692,46118,289810,10231,841,11072
30,UT,A & N Islands,1789,272,2061,1779,225,2004,1538,141,1679,20,1,21,6,0,6
31,UT,Chandigarh,1468,64,1532,1640,66,1706,1452,62,1514,103,15,118,0,0,0
32,UT,D&N Haveli,21,0,21,41,3,44,0,0,0,8,4,12,0,0,0
33,UT,Daman & Diu,55,4,59,74,0,74,0,0,0,84,17,101,7,13,20
34,UT,Delhi UT,10736,402,11138,8885,296,9181,3057,20,3077,1838,35,1873,135,1,136
35,UT,Lakshadweep,51,0,51,53,0,53,41,0,41,5,0,5,0,0,0
36,UT,Puducherry,964,14,978,971,14,985,477,9,486,1,0,1,27,0,27
Total (UTs),UT,Total (UTs),15084,756,15840,13443,604,14047,6565,232,6797,2059,72,2131,175,14,189
Total (All India),Total (All India),Total (All India),2251013,141624,2392637,2136541,128293,2264834,1238104,28102,1266206,245751,46190,291941,10406,855,11261
